PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"36332572","A single-cell transcriptome atlas of glial diversity in the human hippocampus across the postnatal lifespan","Su Y, Zhou Y, Bennett ML, Li S, Carceles-Cordon M, Lu L, Huh S, Jimenez-Cyrus D, Kennedy BC, Kessler SK, Viaene AN, Helbig I, Gu X, Kleinman JE, Hyde TM, Weinberger DR, Nauen DW, Song H, Ming GL.","Cell Stem Cell. 2022 Nov 3;29(11):1594-1610.e8. doi: 10.1016/j.stem.2022.09.010.","Su Y","Cell Stem Cell","2022","2022/11/04","PMC9844262","NIHMS1841037","10.1016/j.stem.2022.09.010"
"37857825","Cell-autonomous effects of APOE4 in restricting microglial response in brain homeostasis and Alzheimer's disease","Liu CC, Wang N, Chen Y, Inoue Y, Shue F, Ren Y, Wang M, Qiao W, Ikezu TC, Li Z, Zhao J, Martens Y, Doss SV, Rosenberg CL, Jeevaratnam S, Jia L, Raulin AC, Qi F, Zhu Y, Alnobani A, Knight J, Chen Y, Linares C, Kurti A, Fryer JD, Zhang B, Wu LJ, Kim BYS, Bu G.","Nat Immunol. 2023 Nov;24(11):1854-1866. doi: 10.1038/s41590-023-01640-9. Epub 2023 Oct 19.","Liu CC","Nat Immunol","2023","2023/10/19","PMC11980647","NIHMS2064445","10.1038/s41590-023-01640-9"
"37258678","Myelin dysfunction drives amyloid-β deposition in models of Alzheimer's disease","Depp C, Sun T, Sasmita AO, Spieth L, Berghoff SA, Nazarenko T, Overhoff K, Steixner-Kumar AA, Subramanian S, Arinrad S, Ruhwedel T, Möbius W, Göbbels S, Saher G, Werner HB, Damkou A, Zampar S, Wirths O, Thalmann M, Simons M, Saito T, Saido T, Krueger-Burg D, Kawaguchi R, Willem M, Haass C, Geschwind D, Ehrenreich H, Stassart R, Nave KA.","Nature. 2023 Jun;618(7964):349-357. doi: 10.1038/s41586-023-06120-6. Epub 2023 May 31.","Depp C","Nature","2023","2023/05/31","PMC10247380","","10.1038/s41586-023-06120-6"
"37992400","Multi-omics data reveals aberrant gut microbiota-host glycerophospholipid metabolism in association with neuroinflammation in APP/PS1 mice","Qian X, Hai W, Chen S, Zhang M, Jiang X, Tang H.","Gut Microbes. 2023 Dec;15(2):2282790. doi: 10.1080/19490976.2023.2282790. Epub 2023 Nov 22.","Qian X","Gut Microbes","2023","2023/11/22","PMC10730179","","10.1080/19490976.2023.2282790"
"37620442","Infiltrating CD8(+) T cells exacerbate Alzheimer's disease pathology in a 3D human neuroimmune axis model","Jorfi M, Park J, Hall CK, Lin CJ, Chen M, von Maydell D, Kruskop JM, Kang B, Choi Y, Prokopenko D, Irimia D, Kim DY, Tanzi RE.","Nat Neurosci. 2023 Sep;26(9):1489-1504. doi: 10.1038/s41593-023-01415-3. Epub 2023 Aug 24.","Jorfi M","Nat Neurosci","2023","2023/08/24","PMC11184920","NIHMS1991963","10.1038/s41593-023-01415-3"
"38159571","An exhausted-like microglial population accumulates in aged and APOE4 genotype Alzheimer's brains","Millet A, Ledo JH, Tavazoie SF.","Immunity. 2024 Jan 9;57(1):153-170.e6. doi: 10.1016/j.immuni.2023.12.001. Epub 2023 Dec 29.","Millet A","Immunity","2024","2023/12/30","PMC10805152","NIHMS1951239","10.1016/j.immuni.2023.12.001"
"31932797","Human and mouse single-nucleus transcriptomics reveal TREM2-dependent and TREM2-independent cellular responses in Alzheimer's disease","Zhou Y, Song WM, Andhey PS, Swain A, Levy T, Miller KR, Poliani PL, Cominelli M, Grover S, Gilfillan S, Cella M, Ulland TK, Zaitsev K, Miyashita A, Ikeuchi T, Sainouchi M, Kakita A, Bennett DA, Schneider JA, Nichols MR, Beausoleil SA, Ulrich JD, Holtzman DM, Artyomov MN, Colonna M.","Nat Med. 2020 Jan;26(1):131-142. doi: 10.1038/s41591-019-0695-9. Epub 2020 Jan 13.","Zhou Y","Nat Med","2020","2020/01/15","PMC6980793","NIHMS1542659","10.1038/s41591-019-0695-9"
"36871219","APOE modulates microglial immunometabolism in response to age, amyloid pathology, and inflammatory challenge","Lee S, Devanney NA, Golden LR, Smith CT, Schwartz JL, Walsh AE, Clarke HA, Goulding DS, Allenger EJ, Morillo-Segovia G, Friday CM, Gorman AA, Hawkinson TR, MacLean SM, Williams HC, Sun RC, Morganti JM, Johnson LA.","Cell Rep. 2023 Mar 28;42(3):112196. doi: 10.1016/j.celrep.2023.112196. Epub 2023 Mar 3.","Lee S","Cell Rep","2023","2023/03/05","PMC10117631","NIHMS1887279","10.1016/j.celrep.2023.112196"
"37713312","Mast cell deficiency improves cognition and enhances disease-associated microglia in 5XFAD mice","Lin CJ, Herisson F, Le H, Jaafar N, Chetal K, Oram MK, Flynn KL, Gavrilles EP, Sadreyev RI, Schiffino FL, Tanzi RE.","Cell Rep. 2023 Sep 26;42(9):113141. doi: 10.1016/j.celrep.2023.113141. Epub 2023 Sep 19.","Lin CJ","Cell Rep","2023","2023/09/15","PMC10634538","NIHMS1933923","10.1016/j.celrep.2023.113141"
"34292312","Microglia in Alzheimer's disease at single-cell level. Are there common patterns in humans and mice?","Chen Y, Colonna M.","J Exp Med. 2021 Sep 6;218(9):e20202717. doi: 10.1084/jem.20202717. Epub 2021 Jul 22.","Chen Y","J Exp Med","2021","2021/07/22","PMC8302448","","10.1084/jem.20202717"
"29020624","Temporal Tracking of Microglia Activation in Neurodegeneration at Single-Cell Resolution","Mathys H, Adaikkan C, Gao F, Young JZ, Manet E, Hemberg M, De Jager PL, Ransohoff RM, Regev A, Tsai LH.","Cell Rep. 2017 Oct 10;21(2):366-380. doi: 10.1016/j.celrep.2017.09.039.","Mathys H","Cell Rep","2017","2017/10/12","PMC5642107","NIHMS907763","10.1016/j.celrep.2017.09.039"
"34021136","Transcriptional signature in microglia associated with Aβ plaque phagocytosis","Grubman A, Choo XY, Chew G, Ouyang JF, Sun G, Croft NP, Rossello FJ, Simmons R, Buckberry S, Landin DV, Pflueger J, Vandekolk TH, Abay Z, Zhou Y, Liu X, Chen J, Larcombe M, Haynes JM, McLean C, Williams S, Chai SY, Wilson T, Lister R, Pouton CW, Purcell AW, Rackham OJL, Petretto E, Polo JM.","Nat Commun. 2021 May 21;12(1):3015. doi: 10.1038/s41467-021-23111-1.","Grubman A","Nat Commun","2021","2021/05/22","PMC8140091","","10.1038/s41467-021-23111-1"
"33606969","White matter aging drives microglial diversity","Safaiyan S, Besson-Girard S, Kaya T, Cantuti-Castelvetri L, Liu L, Ji H, Schifferer M, Gouna G, Usifo F, Kannaiyan N, Fitzner D, Xiang X, Rossner MJ, Brendel M, Gokce O, Simons M.","Neuron. 2021 Apr 7;109(7):1100-1117.e10. doi: 10.1016/j.neuron.2021.01.027. Epub 2021 Feb 18.","Safaiyan S","Neuron","2021","2021/02/19","","","10.1016/j.neuron.2021.01.027"
"36635496","A TREM2-activating antibody with a blood-brain barrier transport vehicle enhances microglial metabolism in Alzheimer's disease models","van Lengerich B, Zhan L, Xia D, Chan D, Joy D, Park JI, Tatarakis D, Calvert M, Hummel S, Lianoglou S, Pizzo ME, Prorok R, Thomsen E, Bartos LM, Beumers P, Capell A, Davis SS, de Weerd L, Dugas JC, Duque J, Earr T, Gadkar K, Giese T, Gill A, Gnörich J, Ha C, Kannuswamy M, Kim DJ, Kunte ST, Kunze LH, Lac D, Lechtenberg K, Leung AW, Liang CC, Lopez I, McQuade P, Modi A, Torres VO, Nguyen HN, Pesämaa I, Propson N, Reich M, Robles-Colmenares Y, Schlepckow K, Slemann L, Solanoy H, Suh JH, Thorne RG, Vieira C, Wind-Mark K, Xiong K, Zuchero YJY, Diaz D, Dennis MS, Huang F, Scearce-Levie K, Watts RJ, Haass C, Lewcock JW, Di Paolo G, Brendel M, Sanchez PE, Monroe KM.","Nat Neurosci. 2023 Mar;26(3):416-429. doi: 10.1038/s41593-022-01240-0. Epub 2023 Jan 12.","van Lengerich B","Nat Neurosci","2023","2023/01/12","PMC9991924","","10.1038/s41593-022-01240-0"
"39218977","Blockade of STING activation alleviates microglial dysfunction and a broad spectrum of Alzheimer's disease pathologies","Chung S, Jeong JH, Park JC, Han JW, Lee Y, Kim JI, Mook-Jung I.","Exp Mol Med. 2024 Sep;56(9):1936-1951. doi: 10.1038/s12276-024-01295-y. Epub 2024 Sep 2.","Chung S","Exp Mol Med","2024","2024/09/01","PMC11447230","","10.1038/s12276-024-01295-y"
"36747024","Perivascular cells induce microglial phagocytic states and synaptic engulfment via SPP1 in mouse models of Alzheimer's disease","De Schepper S, Ge JZ, Crowley G, Ferreira LSS, Garceau D, Toomey CE, Sokolova D, Rueda-Carrasco J, Shin SH, Kim JS, Childs T, Lashley T, Burden JJ, Sasner M, Sala Frigerio C, Jung S, Hong S.","Nat Neurosci. 2023 Mar;26(3):406-415. doi: 10.1038/s41593-023-01257-z. Epub 2023 Feb 6.","De Schepper S","Nat Neurosci","2023","2023/02/06","PMC9991912","","10.1038/s41593-023-01257-z"
"39537608","Multi-trait association analysis reveals shared genetic loci between Alzheimer's disease and cardiovascular traits","Koskeridis F, Fancy N, Tan PF, Meena D, Evangelou E, Elliott P, Wang D, Matthews PM, Dehghan A, Tzoulaki I.","Nat Commun. 2024 Nov 13;15(1):9827. doi: 10.1038/s41467-024-53452-6.","Koskeridis F","Nat Commun","2024","2024/11/13","PMC11561119","","10.1038/s41467-024-53452-6"
"32579671","Anti-human TREM2 induces microglia proliferation and reduces pathology in an Alzheimer's disease model","Wang S, Mustafa M, Yuede CM, Salazar SV, Kong P, Long H, Ward M, Siddiqui O, Paul R, Gilfillan S, Ibrahim A, Rhinn H, Tassi I, Rosenthal A, Schwabe T, Colonna M.","J Exp Med. 2020 Sep 7;217(9):e20200785. doi: 10.1084/jem.20200785.","Wang S","J Exp Med","2020","2020/06/25","PMC7478730","","10.1084/jem.20200785"
"39607927","Tlr7 drives sex differences in age- and Alzheimer's disease-related demyelination","Lopez-Lee C, Kodama L, Fan L, Zhu D, Zhu J, Wong MY, Ye P, Norman K, Foxe NR, Ijaz L, Yu F, Chen H, Carling GK, Torres ER, Kim RD, Dubal DB, Liddelow SA, Sinha SC, Luo W, Gan L.","Science. 2024 Nov 29;386(6725):eadk7844. doi: 10.1126/science.adk7844. Epub 2024 Nov 29.","Lopez-Lee C","Science","2024","2024/11/28","PMC12396121","NIHMS2048950","10.1126/science.adk7844"
"32702314","Spatial Transcriptomics and In Situ Sequencing to Study Alzheimer's Disease","Chen WT, Lu A, Craessaerts K, Pavie B, Sala Frigerio C, Corthout N, Qian X, Laláková J, Kühnemund M, Voytyuk I, Wolfs L, Mancuso R, Salta E, Balusu S, Snellinx A, Munck S, Jurek A, Fernandez Navarro J, Saido TC, Huitinga I, Lundeberg J, Fiers M, De Strooper B.","Cell. 2020 Aug 20;182(4):976-991.e19. doi: 10.1016/j.cell.2020.06.038. Epub 2020 Jul 22.","Chen WT","Cell","2020","2020/07/24","","","10.1016/j.cell.2020.06.038"
"37190116","The Functions and Phenotypes of Microglia in Alzheimer's Disease","Fujikawa R, Tsuda M.","Cells. 2023 Apr 21;12(8):1207. doi: 10.3390/cells12081207.","Fujikawa R","Cells","2023","2023/05/16","PMC10136897","","10.3390/cells12081207"
"36993867","Human striatal glia differentially contribute to AD- and PD-specific neurodegeneration","Xu J, Farsad HL, Hou Y, Barclay K, Lopez BA, Yamada S, Saliu IO, Shi Y, Knight WC, Bateman RJ, Benzinger TLS, Yi JJ, Li Q, Wang T, Perlmutter JS, Morris JC, Zhao G.","Nat Aging. 2023 Mar;3(3):346-365. doi: 10.1038/s43587-023-00363-8. Epub 2023 Feb 9.","Xu J","Nat Aging","2023","2023/03/30","PMC10046522","NIHMS1880699","10.1038/s43587-023-00363-8"
"35165441","A human brain vascular atlas reveals diverse mediators of Alzheimer's risk","Yang AC, Vest RT, Kern F, Lee DP, Agam M, Maat CA, Losada PM, Chen MB, Schaum N, Khoury N, Toland A, Calcuttawala K, Shin H, Pálovics R, Shin A, Wang EY, Luo J, Gate D, Schulz-Schaeffer WJ, Chu P, Siegenthaler JA, McNerney MW, Keller A, Wyss-Coray T.","Nature. 2022 Mar;603(7903):885-892. doi: 10.1038/s41586-021-04369-3. Epub 2022 Feb 14.","Yang AC","Nature","2022","2022/02/15","PMC9635042","NIHMS1840921","10.1038/s41586-021-04369-3"
"34767070","Diverse human astrocyte and microglial transcriptional responses to Alzheimer's pathology","Smith AM, Davey K, Tsartsalis S, Khozoie C, Fancy N, Tang SS, Liaptsi E, Weinert M, McGarry A, Muirhead RCJ, Gentleman S, Owen DR, Matthews PM.","Acta Neuropathol. 2022 Jan;143(1):75-91. doi: 10.1007/s00401-021-02372-6. Epub 2021 Nov 12.","Smith AM","Acta Neuropathol","2022","2021/11/12","PMC8732962","","10.1007/s00401-021-02372-6"
"36368315","TREM2-independent microgliosis promotes tau-mediated neurodegeneration in the presence of ApoE4","Gratuze M, Schlachetzki JCM, D'Oliveira Albanus R, Jain N, Novotny B, Brase L, Rodriguez L, Mansel C, Kipnis M, O'Brien S, Pasillas MP, Lee C, Manis M, Colonna M, Harari O, Glass CK, Ulrich JD, Holtzman DM.","Neuron. 2023 Jan 18;111(2):202-219.e7. doi: 10.1016/j.neuron.2022.10.022. Epub 2022 Nov 10.","Gratuze M","Neuron","2023","2022/11/11","PMC9852006","NIHMS1844615","10.1016/j.neuron.2022.10.022"
"37099634","Sleep deprivation exacerbates microglial reactivity and Aβ deposition in a TREM2-dependent manner in mice","Parhizkar S, Gent G, Chen Y, Rensing N, Gratuze M, Strout G, Sviben S, Tycksen E, Zhang Q, Gilmore PE, Sprung R, Malone J, Chen W, Remolina Serrano J, Bao X, Lee C, Wang C, Landsness E, Fitzpatrick J, Wong M, Townsend R, Colonna M, Schmidt RE, Holtzman DM.","Sci Transl Med. 2023 Apr 26;15(693):eade6285. doi: 10.1126/scitranslmed.ade6285. Epub 2023 Apr 26.","Parhizkar S","Sci Transl Med","2023","2023/04/26","PMC10449561","NIHMS1923419","10.1126/scitranslmed.ade6285"
"32826893","A single-cell atlas of the human substantia nigra reveals cell-specific pathways associated with neurological disorders","Agarwal D, Sandor C, Volpato V, Caffrey TM, Monzón-Sandoval J, Bowden R, Alegre-Abarrategui J, Wade-Martins R, Webber C.","Nat Commun. 2020 Aug 21;11(1):4183. doi: 10.1038/s41467-020-17876-0.","Agarwal D","Nat Commun","2020","2020/08/23","PMC7442652","","10.1038/s41467-020-17876-0"
"36271414","Gossypetin ameliorates 5xFAD spatial learning and memory through enhanced phagocytosis against Aβ","Jo KW, Lee D, Cha DG, Oh E, Choi YH, Kim S, Park ES, Kim JK, Kim KT.","Alzheimers Res Ther. 2022 Oct 21;14(1):158. doi: 10.1186/s13195-022-01096-3.","Jo KW","Alzheimers Res Ther","2022","2022/10/22","PMC9585741","","10.1186/s13195-022-01096-3"
"33097708","Gene expression and functional deficits underlie TREM2-knockout microglia responses in human models of Alzheimer's disease","McQuade A, Kang YJ, Hasselmann J, Jairaman A, Sotelo A, Coburn M, Shabestari SK, Chadarevian JP, Fote G, Tu CH, Danhash E, Silva J, Martinez E, Cotman C, Prieto GA, Thompson LM, Steffan JS, Smith I, Davtyan H, Cahalan M, Cho H, Blurton-Jones M.","Nat Commun. 2020 Oct 23;11(1):5370. doi: 10.1038/s41467-020-19227-5.","McQuade A","Nat Commun","2020","2020/10/24","PMC7584603","","10.1038/s41467-020-19227-5"
"39744938","A single-cell compendium of human cerebrospinal fluid identifies disease-associated immune cell populations","Cantoni C, Smirnov RA, Firulyova M, Andhey PS, Bradstreet TR, Esaulova E, Terekhova M, Schwarzkopf EA, Abdalla NM, Kleverov M, Sabatino JJ Jr, Liu K, Schwab N, Meyer Zu Hörste G, Cross AH, Artyomov MN, Edelson BT, Wu GF.","J Clin Invest. 2025 Jan 2;135(1):e177793. doi: 10.1172/JCI177793.","Cantoni C","J Clin Invest","2025","2025/01/02","PMC11684814","","10.1172/JCI177793"
"29784049","Identification and therapeutic modulation of a pro-inflammatory subset of disease-associated-microglia in Alzheimer's disease","Rangaraju S, Dammer EB, Raza SA, Rathakrishnan P, Xiao H, Gao T, Duong DM, Pennington MW, Lah JJ, Seyfried NT, Levey AI.","Mol Neurodegener. 2018 May 21;13(1):24. doi: 10.1186/s13024-018-0254-8.","Rangaraju S","Mol Neurodegener","2018","2018/05/23","PMC5963076","","10.1186/s13024-018-0254-8"
"34851693","AD-linked R47H-TREM2 mutation induces disease-enhancing microglial states via AKT hyperactivation","Sayed FA, Kodama L, Fan L, Carling GK, Udeochu JC, Le D, Li Q, Zhou L, Wong MY, Horowitz R, Ye P, Mathys H, Wang M, Niu X, Mazutis L, Jiang X, Wang X, Gao F, Brendel M, Telpoukhovskaia M, Tracy TE, Frost G, Zhou Y, Li Y, Qiu Y, Cheng Z, Yu G, Hardy J, Coppola G, Wang F, DeTure MA, Zhang B, Xie L, Trajnowski JQ, Lee VMY, Gong S, Sinha SC, Dickson DW, Luo W, Gan L.","Sci Transl Med. 2021 Dec;13(622):eabe3947. doi: 10.1126/scitranslmed.abe3947. Epub 2021 Dec 1.","Sayed FA","Sci Transl Med","2021","2021/12/01","PMC9345574","NIHMS1824808","10.1126/scitranslmed.abe3947"
"36732642","Integrative in situ mapping of single-cell transcriptional states and tissue histopathology in a mouse model of Alzheimer's disease","Zeng H, Huang J, Zhou H, Meilandt WJ, Dejanovic B, Zhou Y, Bohlen CJ, Lee SH, Ren J, Liu A, Tang Z, Sheng H, Liu J, Sheng M, Wang X.","Nat Neurosci. 2023 Mar;26(3):430-446. doi: 10.1038/s41593-022-01251-x. Epub 2023 Feb 2.","Zeng H","Nat Neurosci","2023","2023/02/02","PMC11332722","NIHMS1963897","10.1038/s41593-022-01251-x"
"33257666","Single cell RNA sequencing of human microglia uncovers a subset associated with Alzheimer's disease","Olah M, Menon V, Habib N, Taga MF, Ma Y, Yung CJ, Cimpean M, Khairallah A, Coronas-Samano G, Sankowski R, Grün D, Kroshilina AA, Dionne D, Sarkis RA, Cosgrove GR, Helgager J, Golden JA, Pennell PB, Prinz M, Vonsattel JPG, Teich AF, Schneider JA, Bennett DA, Regev A, Elyaman W, Bradshaw EM, De Jager PL.","Nat Commun. 2020 Nov 30;11(1):6129. doi: 10.1038/s41467-020-19737-2.","Olah M","Nat Commun","2020","2020/12/01","PMC7704703","","10.1038/s41467-020-19737-2"
"39468688","TRPV1 alleviates APOE4-dependent microglial antigen presentation and T cell infiltration in Alzheimer's disease","Lu J, Wu K, Sha X, Lin J, Chen H, Yu Z.","Transl Neurodegener. 2024 Oct 29;13(1):52. doi: 10.1186/s40035-024-00445-6.","Lu J","Transl Neurodegener","2024","2024/10/29","PMC11520887","","10.1186/s40035-024-00445-6"
"38514782","Cell subtype-specific effects of genetic variation in the Alzheimer's disease brain","Fujita M, Gao Z, Zeng L, McCabe C, White CC, Ng B, Green GS, Rozenblatt-Rosen O, Phillips D, Amir-Zilberstein L, Lee H, Pearse RV 2nd, Khan A, Vardarajan BN, Kiryluk K, Ye CJ, Klein HU, Wang G, Regev A, Habib N, Schneider JA, Wang Y, Young-Pearse T, Mostafavi S, Bennett DA, Menon V, De Jager PL.","Nat Genet. 2024 Apr;56(4):605-614. doi: 10.1038/s41588-024-01685-y. Epub 2024 Mar 21.","Fujita M","Nat Genet","2024","2024/03/22","PMC12288883","NIHMS2096868","10.1038/s41588-024-01685-y"
"34992268","Genetic analysis of the human microglial transcriptome across brain regions, aging and disease pathologies","Lopes KP, Snijders GJL, Humphrey J, Allan A, Sneeboer MAM, Navarro E, Schilder BM, Vialle RA, Parks M, Missall R, van Zuiden W, Gigase FAJ, Kübler R, van Berlekom AB, Hicks EM, Bӧttcher C, Priller J, Kahn RS, de Witte LD, Raj T.","Nat Genet. 2022 Jan;54(1):4-17. doi: 10.1038/s41588-021-00976-y. Epub 2022 Jan 6.","Lopes KP","Nat Genet","2022","2022/01/07","PMC9245609","NIHMS1749810","10.1038/s41588-021-00976-y"
"37269061","Comprehensive analyses of brain cell communications based on multiple scRNA-seq and snRNA-seq datasets for revealing novel mechanism in neurodegenerative diseases","Zhang C, Tan G, Zhang Y, Zhong X, Zhao Z, Peng Y, Cheng Q, Xue K, Xu Y, Li X, Li F, Zhang Y.","CNS Neurosci Ther. 2023 Oct;29(10):2775-2786. doi: 10.1111/cns.14280. Epub 2023 Jun 2.","Zhang C","CNS Neurosci Ther","2023","2023/06/03","PMC10493674","","10.1111/cns.14280"
"35764973","CX3CR1 deficiency aggravates amyloid driven neuronal pathology and cognitive decline in Alzheimer's disease","Puntambekar SS, Moutinho M, Lin PB, Jadhav V, Tumbleson-Brink D, Balaji A, Benito MA, Xu G, Oblak A, Lasagna-Reeves CA, Landreth GE, Lamb BT.","Mol Neurodegener. 2022 Jun 28;17(1):47. doi: 10.1186/s13024-022-00545-9.","Puntambekar SS","Mol Neurodegener","2022","2022/06/28","PMC9241248","","10.1186/s13024-022-00545-9"
"40074951","Spotiphy enables single-cell spatial whole transcriptomics across an entire section","Yang J, Zheng Z, Jiao Y, Yu K, Bhatara S, Yang X, Natarajan S, Zhang J, Pan Q, Easton J, Yan KK, Peng J, Liu K, Yu J.","Nat Methods. 2025 Apr;22(4):724-736. doi: 10.1038/s41592-025-02622-5. Epub 2025 Mar 12.","Yang J","Nat Methods","2025","2025/03/13","PMC11978521","","10.1038/s41592-025-02622-5"
"31375314","Development of a Chimeric Model to Study and Manipulate Human Microglia In Vivo","Hasselmann J, Coburn MA, England W, Figueroa Velez DX, Kiani Shabestari S, Tu CH, McQuade A, Kolahdouzan M, Echeverria K, Claes C, Nakayama T, Azevedo R, Coufal NG, Han CZ, Cummings BJ, Davtyan H, Glass CK, Healy LM, Gandhi SP, Spitale RC, Blurton-Jones M.","Neuron. 2019 Sep 25;103(6):1016-1033.e10. doi: 10.1016/j.neuron.2019.07.002. Epub 2019 Jul 30.","Hasselmann J","Neuron","2019","2019/08/04","PMC7138101","NIHMS1563396","10.1016/j.neuron.2019.07.002"
"39062547","Targeting Microglia in Alzheimer's Disease: Pathogenesis and Potential Therapeutic Strategies","Sun Z, Zhang X, So KF, Jiang W, Chiu K.","Biomolecules. 2024 Jul 11;14(7):833. doi: 10.3390/biom14070833.","Sun Z","Biomolecules","2024","2024/07/27","PMC11274940","","10.3390/biom14070833"
"35526014","BIN1 is a key regulator of proinflammatory and neurodegeneration-related activation in microglia","Sudwarts A, Ramesha S, Gao T, Ponnusamy M, Wang S, Hansen M, Kozlova A, Bitarafan S, Kumar P, Beaulieu-Abdelahad D, Zhang X, Collier L, Szekeres C, Wood LB, Duan J, Thinakaran G, Rangaraju S.","Mol Neurodegener. 2022 May 7;17(1):33. doi: 10.1186/s13024-022-00535-x.","Sudwarts A","Mol Neurodegener","2022","2022/05/07","PMC9077874","","10.1186/s13024-022-00535-x"
