PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"29710317","Association of Substance Use Disorders With Conversion From Schizotypal Disorder to Schizophrenia","Hjorthøj C, Albert N, Nordentoft M.","JAMA Psychiatry. 2018 Jul 1;75(7):733-739. doi: 10.1001/jamapsychiatry.2018.0568.","Hjorthøj C","JAMA Psychiatry","2018","2018/05/01","PMC6145672","","10.1001/jamapsychiatry.2018.0568"
"26990267","Bipolar disorder and substance use disorders. Madrid study on the prevalence of dual disorders/pathology","Arias F, Szerman N, Vega P, Mesías B, Basurte I, Rentero D.","Adicciones. 2017 Jun 28;29(3):186-194. doi: 10.20882/adicciones.782.","Arias F","Adicciones","2017","2016/03/19","","","10.20882/adicciones.782"
"24060474","Delinquency, depression, and substance use disorder among child welfare-involved adolescent females","Lalayants M, Prince JD.","Child Abuse Negl. 2014 Apr;38(4):797-807. doi: 10.1016/j.chiabu.2013.08.008. Epub 2013 Sep 21.","Lalayants M","Child Abuse Negl","2014","2013/09/25","PMC3977008","NIHMS553231","10.1016/j.chiabu.2013.08.008"
"25655767","Treatments for Adolescents With Comorbid ADHD and Substance Use Disorder: A Systematic Review","Zaso MJ, Park A, Antshel KM.","J Atten Disord. 2020 Jul;24(9):1215-1226. doi: 10.1177/1087054715569280. Epub 2015 Feb 5.","Zaso MJ","J Atten Disord","2020","2015/02/07","PMC4666815","NIHMS738530","10.1177/1087054715569280"
"30144182","Targeting redox regulation to treat substance use disorder using N‐acetylcysteine","Womersley JS, Townsend DM, Kalivas PW, Uys JD.","Eur J Neurosci. 2019 Aug;50(3):2538-2551. doi: 10.1111/ejn.14130. Epub 2018 Sep 24.","Womersley JS","Eur J Neurosci","2019","2018/08/26","PMC6387857","NIHMS986779","10.1111/ejn.14130"
"33866073","Transgender-related discrimination and substance use, substance use disorder diagnosis and treatment history among transgender adults","Wolfe HL, Biello KB, Reisner SL, Mimiaga MJ, Cahill SR, Hughto JMW.","Drug Alcohol Depend. 2021 Jun 1;223:108711. doi: 10.1016/j.drugalcdep.2021.108711. Epub 2021 Apr 20.","Wolfe HL","Drug Alcohol Depend","2021","2021/04/18","PMC8114322","NIHMS1694782","10.1016/j.drugalcdep.2021.108711"
"27532746","Mechanisms and genetic factors underlying co-use of nicotine and alcohol or other drugs of abuse","Cross SJ, Lotfipour S, Leslie FM.","Am J Drug Alcohol Abuse. 2017 Mar;43(2):171-185. doi: 10.1080/00952990.2016.1209512. Epub 2016 Aug 17.","Cross SJ","Am J Drug Alcohol Abuse","2017","2016/08/18","PMC5493323","NIHMS868705","10.1080/00952990.2016.1209512"
"27816036","Childhood trauma exposure in substance use disorder patients with and without ADHD","Konstenius M, Leifman A, van Emmerik-van Oortmerssen K, van de Glind G, Franck J, Moggi F, Ramos-Quiroga JA, Levin FR, Carpentier PJ, Skutle A, Bu ET, Kaye S, Demetrovics Z, Barta C, Auriecomb M, Fatséas M, Johnson B, Faraone SV, Allsop S, Carruthers S, Schoevers RA, Verspreet S, Dom G, Koeter MW, van den Brink W.","Addict Behav. 2017 Feb;65:118-124. doi: 10.1016/j.addbeh.2016.10.016. Epub 2016 Oct 24.","Konstenius M","Addict Behav","2017","2016/11/06","PMC5518307","NIHMS878682","10.1016/j.addbeh.2016.10.016"
"24976549","A review of substance [corrected] use disorder treatment in developing world communities","Salwan J, Katz CL.","Ann Glob Health. 2014 Mar-Apr;80(2):115-21. doi: 10.1016/j.aogh.2014.04.010.","Salwan J","Ann Glob Health","2014","2014/07/01","","","10.1016/j.aogh.2014.04.010"
"30138449","Total and cause-specific standardized mortality ratios in patients with schizophrenia and/or substance use disorder","Heiberg IH, Jacobsen BK, Nesvåg R, Bramness JG, Reichborn-Kjennerud T, Næss Ø, Ystrom E, Hultman CM, Høye A.","PLoS One. 2018 Aug 23;13(8):e0202028. doi: 10.1371/journal.pone.0202028. eCollection 2018.","Heiberg IH","PLoS One","2018","2018/08/24","PMC6107156","","10.1371/journal.pone.0202028"
"30261864","Substance use disorder and associated factors among prisoners in a correctional institution in Jimma, Southwest Ethiopia: a cross-sectional study","Yitayih Y, Abera M, Tesfaye E, Mamaru A, Soboka M, Adorjan K.","BMC Psychiatry. 2018 Sep 27;18(1):314. doi: 10.1186/s12888-018-1901-x.","Yitayih Y","BMC Psychiatry","2018","2018/09/29","PMC6161458","","10.1186/s12888-018-1901-x"
"27106113","Classifying substance use disorder treatment facilities with co-located mental health services: A latent class analysis approach","Mauro PM, Furr-Holden CD, Strain EC, Crum RM, Mojtabai R.","Drug Alcohol Depend. 2016 Jun 1;163:108-15. doi: 10.1016/j.drugalcdep.2016.04.001. Epub 2016 Apr 7.","Mauro PM","Drug Alcohol Depend","2016","2016/04/24","PMC4880516","NIHMS776417","10.1016/j.drugalcdep.2016.04.001"
"25737377","Implementation of integrated therapies for comorbid post-traumatic stress disorder and substance use disorders in community substance abuse treatment programs","Killeen TK, Back SE, Brady KT.","Drug Alcohol Rev. 2015 May;34(3):234-41. doi: 10.1111/dar.12229. Epub 2015 Mar 4.","Killeen TK","Drug Alcohol Rev","2015","2015/03/05","PMC4737595","NIHMS754205","10.1111/dar.12229"
"23506232","Substance use disorders in adolescents with attention deficit hyperactivity disorder: a 4-year follow-up study","Groenman AP, Oosterlaan J, Rommelse N, Franke B, Roeyers H, Oades RD, Sergeant JA, Buitelaar JK, Faraone SV.","Addiction. 2013 Aug;108(8):1503-11. doi: 10.1111/add.12188. Epub 2013 Apr 22.","Groenman AP","Addiction","2013","2013/03/20","","","10.1111/add.12188"
"24628811","Parental history of substance use disorders (SUD) and SUD in offspring: a controlled family study of bipolar disorder","Wilens TE, Yule A, Martelon M, Zulauf C, Faraone SV.","Am J Addict. 2014 Sep-Oct;23(5):440-6. doi: 10.1111/j.1521-0391.2014.12125.x. Epub 2014 Mar 15.","Wilens TE","Am J Addict","2014","2014/03/18","PMC4139420","NIHMS531907","10.1111/j.1521-0391.2014.12125.x"
"26105707","Treatment strategy profiles in substance use disorder treatment programs: A latent class analysis","Edmond MB, Aletraris L, Paino M, Roman PM.","Drug Alcohol Depend. 2015 Aug 1;153:109-15. doi: 10.1016/j.drugalcdep.2015.05.047. Epub 2015 Jun 9.","Edmond MB","Drug Alcohol Depend","2015","2015/06/25","PMC4509823","NIHMS705137","10.1016/j.drugalcdep.2015.05.047"
"30261888","Narrating the journey of sustained recovery from substance use disorder","Stokes M, Schultz P, Alpaslan A.","Subst Abuse Treat Prev Policy. 2018 Sep 27;13(1):35. doi: 10.1186/s13011-018-0167-0.","Stokes M","Subst Abuse Treat Prev Policy","2018","2018/09/29","PMC6161338","","10.1186/s13011-018-0167-0"
"33892312","Correlates of e-cigarette use for smoking cessation among clients in residential substance use disorder treatment","Masson CL, Le T, Hosakote S, Fokuo JK, Gubner NR, Shingle M, Guydish J.","Addict Behav. 2021 Aug;119:106947. doi: 10.1016/j.addbeh.2021.106947. Epub 2021 Apr 8.","Masson CL","Addict Behav","2021","2021/04/23","PMC8247797","NIHMS1710536","10.1016/j.addbeh.2021.106947"
"29933826","Sleep Management Among Patients with Substance Use Disorders","Chakravorty S, Vandrey RG, He S, Stein MD.","Med Clin North Am. 2018 Jul;102(4):733-743. doi: 10.1016/j.mcna.2018.02.012.","Chakravorty S","Med Clin North Am","2018","2018/06/24","PMC6289280","NIHMS1511484","10.1016/j.mcna.2018.02.012"
"33768269","Clinical practice guideline on pharmacological and psychological management of adult patients with depression and a comorbid substance use disorder","Torrens M, Tirado-Muñoz J, Fonseca F, Farré M, González-Pinto A, Arrojo M, Bernardo M, Arranz B, Garriga M, Sáiz PA, Flórez G, Goikolea JM, Zorrilla I, Cunill R, Castells X, Becoña E, López A, San L.","Adicciones. 2022 Apr 1;34(2):128-141. doi: 10.20882/adicciones.1559.","Torrens M","Adicciones","2022","2021/03/26","","","10.20882/adicciones.1559"
"36151539","The clinical course of comorbid substance use disorder and attention deficit/hyperactivity disorder: protocol and clinical characteristics of the INCAS study","Brynte C, Aeschlimann M, Barta C, Begeman AHA, Bäcker A, Crunelle CL, Daigre C, De Fuentes-Merillas L, Demetrovics Z, Dom G, López LG, Icick R, Johnson B, Joostens P, Kapitány-Fövény M, Karsinti E, Kiefer F, Konstenius M, Levin FR, Luderer M, Markus W, Matthys F, Moggi F, Palma-Alvarez RF, Paraskevopoulou M, Ramos-Quiroga JA, Schellekens A, Soravia LM, Therribout N, Thomas A, van de Glind G, van Kernebeek MW, Vollstädt-Klein S, Vorspan F, van den Brink W, Franck J.","BMC Psychiatry. 2022 Sep 23;22(1):625. doi: 10.1186/s12888-022-04259-6.","Brynte C","BMC Psychiatry","2022","2022/09/23","PMC9502646","","10.1186/s12888-022-04259-6"
"27684102","Psilocybin for treating substance use disorders?","de Veen BT, Schellekens AF, Verheij MM, Homberg JR.","Expert Rev Neurother. 2017 Feb;17(2):203-212. doi: 10.1080/14737175.2016.1220834. Epub 2016 Aug 12.","de Veen BT","Expert Rev Neurother","2017","2016/09/30","","","10.1080/14737175.2016.1220834"
"33689966","Development and examination of the attribution questionnaire-substance use disorder (AQ-SUD) to measure public stigma towards adolescents experiencing substance use disorders","Johnson-Kwochka A, Aalsma MC, Monahan PO, Salyers MP.","Drug Alcohol Depend. 2021 Apr 1;221:108600. doi: 10.1016/j.drugalcdep.2021.108600. Epub 2021 Feb 13.","Johnson-Kwochka A","Drug Alcohol Depend","2021","2021/03/10","","","10.1016/j.drugalcdep.2021.108600"
"25096272","Synthetic cannabinoid use among patients in residential substance use disorder treatment: prevalence, motives, and correlates","Bonar EE, Ashrafioun L, Ilgen MA.","Drug Alcohol Depend. 2014 Oct 1;143:268-71. doi: 10.1016/j.drugalcdep.2014.07.009. Epub 2014 Jul 17.","Bonar EE","Drug Alcohol Depend","2014","2014/08/07","PMC4161625","NIHMS618787","10.1016/j.drugalcdep.2014.07.009"
"29960204","Prescription drug use, misuse and related substance use disorder symptoms vary by educational status and attainment in U.S. adolescents and young adults","Schepis TS, Teter CJ, McCabe SE.","Drug Alcohol Depend. 2018 Aug 1;189:172-177. doi: 10.1016/j.drugalcdep.2018.05.017. Epub 2018 Jun 21.","Schepis TS","Drug Alcohol Depend","2018","2018/07/01","PMC6487647","NIHMS1016696","10.1016/j.drugalcdep.2018.05.017"
"25635897","Associations between mental health, substance use, and sexual abuse experiences among Latinas","Ulibarri MD, Ulloa EC, Salazar M.","J Child Sex Abus. 2015;24(1):35-54. doi: 10.1080/10538712.2015.976303.","Ulibarri MD","J Child Sex Abus","2015","2015/01/31","PMC4353642","NIHMS667315","10.1080/10538712.2015.976303"
"33824431","Re-examining the link between childhood maltreatment and substance use disorder: a prospective, genetically informative study","Capusan AJ, Gustafsson PA, Kuja-Halkola R, Igelström K, Mayo LM, Heilig M.","Mol Psychiatry. 2021 Jul;26(7):3201-3209. doi: 10.1038/s41380-021-01071-8. Epub 2021 Apr 6.","Capusan AJ","Mol Psychiatry","2021","2021/04/07","","","10.1038/s41380-021-01071-8"
"27177422","The pattern of substance use disorder in the United Arab Emirates in 2015: results of a National Rehabilitation Centre cohort study","Alblooshi H, Hulse GK, El Kashef A, Al Hashmi H, Shawky M, Al Ghaferi H, Al Safar H, Tay GK.","Subst Abuse Treat Prev Policy. 2016 May 13;11(1):19. doi: 10.1186/s13011-016-0062-5.","Alblooshi H","Subst Abuse Treat Prev Policy","2016","2016/05/15","PMC4866416","","10.1186/s13011-016-0062-5"
"34016299","Telemedicine works for treating substance use disorder: The STAR clinic experience during COVID-19","Fiacco L, Pearson BL, Jordan R.","J Subst Abuse Treat. 2021 Jun;125:108312. doi: 10.1016/j.jsat.2021.108312. Epub 2021 Jan 26.","Fiacco L","J Subst Abuse Treat","2021","2021/05/21","PMC8561322","","10.1016/j.jsat.2021.108312"
"37380598","Health Outcomes by Neighborhood (HON): Effects of Neighborhood, Social Instability, and Health Factors on 12-Month Trajectories of Substance-Use Disorder Symptoms","Moran LM, Panlilio LV, Hertzel SK, Bertz JW, Tyburski M, Etter JR, Epstein DH, Preston KL, Phillips KA.","Subst Use Misuse. 2023;58(12):1460-1472. doi: 10.1080/10826084.2023.2223258. Epub 2023 Jun 28.","Moran LM","Subst Use Misuse","2023","2023/06/28","PMC10534204","NIHMS1917921","10.1080/10826084.2023.2223258"
"29397076","Event-Related Potentials as Biomarkers of Behavior Change Mechanisms in Substance Use Disorder Treatment","Houston RJ, Schlienz NJ.","Biol Psychiatry Cogn Neurosci Neuroimaging. 2018 Jan;3(1):30-40. doi: 10.1016/j.bpsc.2017.09.006. Epub 2017 Sep 23.","Houston RJ","Biol Psychiatry Cogn Neurosci Neuroimaging","2018","2018/02/05","PMC5801766","NIHMS908245","10.1016/j.bpsc.2017.09.006"
"27840157","Sensitive periods of substance abuse: Early risk for the transition to dependence","Jordan CJ, Andersen SL.","Dev Cogn Neurosci. 2017 Jun;25:29-44. doi: 10.1016/j.dcn.2016.10.004. Epub 2016 Oct 29.","Jordan CJ","Dev Cogn Neurosci","2017","2016/11/15","PMC5410194","NIHMS826448","10.1016/j.dcn.2016.10.004"
"33375986","Impacts of COVID-19 on residential treatment programs for substance use disorder","Pagano A, Hosakote S, Kapiteni K, Straus ER, Wong J, Guydish JR.","J Subst Abuse Treat. 2021 Apr;123:108255. doi: 10.1016/j.jsat.2020.108255. Epub 2020 Dec 17.","Pagano A","J Subst Abuse Treat","2021","2020/12/30","PMC7953585","NIHMS1657507","10.1016/j.jsat.2020.108255"
"25222569","Religiosity as a Predictor of Adolescents' Substance Use Disorder Treatment Outcomes","Yeterian JD, Bursik K, Kelly JF.","Subst Abus. 2015;36(4):453-61. doi: 10.1080/08897077.2014.960550. Epub 2014 Sep 15.","Yeterian JD","Subst Abus","2015","2014/09/16","PMC4362954","NIHMS629261","10.1080/08897077.2014.960550"
"22789630","Co-morbidity of substance use disorder and psychopathology in women who use methamphetamine during pregnancy in the US and New Zealand","Wouldes TA, LaGasse LL, Derauf C, Newman E, Shah R, Smith LM, Arria AM, Huestis MA, DellaGrotta S, Wilcox T, Neal CR Jr, Lester BM.","Drug Alcohol Depend. 2013 Jan 1;127(1-3):101-7. doi: 10.1016/j.drugalcdep.2012.06.016. Epub 2012 Jul 11.","Wouldes TA","Drug Alcohol Depend","2013","2012/07/14","PMC3498544","NIHMS394078","10.1016/j.drugalcdep.2012.06.016"
"28410131","Substance use disorder a bio-directional subset of reward deficiency syndrome","Blum K, Gold M, Demetrovics Z, Archer T, Thanos PK, Baron D, Badgaiyan RD.","Front Biosci (Landmark Ed). 2017 Jun 1;22(9):1534-1548. doi: 10.2741/4557.","Blum K","Front Biosci (Landmark Ed)","2017","2017/04/15","","","10.2741/4557"
"35648046","Trauma-Integrated Mindfulness-Based Relapse Prevention for Women with Comorbid Post-Traumatic Stress Disorder and Substance Use Disorder: A Cluster Randomized Controlled Feasibility and Acceptability Trial","Somohano VC, Bowen S.","J Integr Complement Med. 2022 Sep;28(9):729-738. doi: 10.1089/jicm.2021.0306. Epub 2022 May 31.","Somohano VC","J Integr Complement Med","2022","2022/06/01","PMC11577492","","10.1089/jicm.2021.0306"
"29930223","On the addictive power of gabapentinoids: a mini-review","Bonnet U, Richter EL, Isbruch K, Scherbaum N.","Psychiatr Danub. 2018 Jun;30(2):142-149. doi: 10.24869/psyd.2018.142.","Bonnet U","Psychiatr Danub","2018","2018/06/23","","","10.24869/psyd.2018.142"
"33582097","Sleep and alertness disturbance and substance use disorders: A bi-directional relation","Roehrs T, Sibai M, Roth T.","Pharmacol Biochem Behav. 2021 Apr;203:173153. doi: 10.1016/j.pbb.2021.173153. Epub 2021 Feb 12.","Roehrs T","Pharmacol Biochem Behav","2021","2021/02/14","PMC7996967","NIHMS1677062","10.1016/j.pbb.2021.173153"
"33941761","Association of co-occurring opioid or other substance use disorders with increased healthcare utilization in patients with depression","Vekaria V, Bose B, Murphy SM, Avery J, Alexopoulos G, Pathak J.","Transl Psychiatry. 2021 May 3;11(1):265. doi: 10.1038/s41398-021-01372-0.","Vekaria V","Transl Psychiatry","2021","2021/05/04","PMC8093211","","10.1038/s41398-021-01372-0"
"26652898","Effect of traumatic event reexposure and PTSD on substance use disorder treatment response","Peirce JM, Brooner RK, King VL, Kidorf MS.","Drug Alcohol Depend. 2016 Jan 1;158:126-31. doi: 10.1016/j.drugalcdep.2015.11.006. Epub 2015 Nov 21.","Peirce JM","Drug Alcohol Depend","2016","2015/12/15","PMC4698104","NIHMS740114","10.1016/j.drugalcdep.2015.11.006"
"25595301","Cigarette Smoking During Substance Use Disorder Treatment: Secondary Outcomes from a National Drug Abuse Treatment Clinical Trials Network study","McClure EA, Campbell AN, Pavlicova M, Hu M, Winhusen T, Vandrey RG, Ruglass LM, Covey LS, Stitzer ML, Kyle TL, Nunes EV.","J Subst Abuse Treat. 2015 Jun;53:39-46. doi: 10.1016/j.jsat.2014.12.007. Epub 2014 Dec 30.","McClure EA","J Subst Abuse Treat","2015","2015/01/18","PMC4414703","NIHMS655912","10.1016/j.jsat.2014.12.007"
"28531265","Utility of Nonhuman Primates in Substance Use Disorders Research","Banks ML, Czoty PW, Negus SS.","ILAR J. 2017 Dec 1;58(2):202-215. doi: 10.1093/ilar/ilx014.","Banks ML","ILAR J","2017","2017/05/23","PMC5886327","","10.1093/ilar/ilx014"
"24053973","Does substance use disorder affect clinical expression in first-hospitalization patients with schizophrenia? Analysis of a prospective cohort","Picci RL, Versino E, Oliva F, Giaretto RM, Ostacoli L, Trivelli F, Venturello S, Furlan PM.","Psychiatry Res. 2013 Dec 30;210(3):780-6. doi: 10.1016/j.psychres.2013.08.043. Epub 2013 Sep 18.","Picci RL","Psychiatry Res","2013","2013/09/24","","","10.1016/j.psychres.2013.08.043"
"29936111","From controlled to compulsive drug-taking: The role of the habenula in addiction","Mathis V, Kenny PJ.","Neurosci Biobehav Rev. 2019 Nov;106:102-111. doi: 10.1016/j.neubiorev.2018.06.018. Epub 2018 Jun 21.","Mathis V","Neurosci Biobehav Rev","2019","2018/06/25","PMC9871871","NIHMS1864018","10.1016/j.neubiorev.2018.06.018"
"33832483","Harmonizing healthcare and other resource measures for evaluating economic costs in substance use disorder research","Papp MA, Leff JA, Murphy SM, Yang A, Crane HM, Metsch LR, Del Rio C, Feaster DJ, Rich JD, Schackman BR, McCollister KE.","Subst Abuse Treat Prev Policy. 2021 Apr 8;16(1):32. doi: 10.1186/s13011-021-00356-z.","Papp MA","Subst Abuse Treat Prev Policy","2021","2021/04/09","PMC8033702","","10.1186/s13011-021-00356-z"
"33933103","Qualitative assessment of patients' perspectives and needs from community pharmacists in substance use disorder management","Fatani S, Bakke D, D'Eon M, El-Aneed A.","Subst Abuse Treat Prev Policy. 2021 May 1;16(1):38. doi: 10.1186/s13011-021-00374-x.","Fatani S","Subst Abuse Treat Prev Policy","2021","2021/05/02","PMC8088612","","10.1186/s13011-021-00374-x"
"28492960","Dual diagnosis in Depression: treatment recommendations","Tirado Muñoz J, Farré A, Mestre-Pintó J, Szerman N, Torrens M.","Adicciones. 2018 Jan 1;30(1):66-76. doi: 10.20882/adicciones.868.","Tirado Muñoz J","Adicciones","2018","2017/05/12","","","10.20882/adicciones.868"
"24464527","Reducing substance use during adolescence: a translational framework for prevention","Stanis JJ, Andersen SL.","Psychopharmacology (Berl). 2014 Apr;231(8):1437-53. doi: 10.1007/s00213-013-3393-1. Epub 2014 Jan 25.","Stanis JJ","Psychopharmacology (Berl)","2014","2014/01/28","PMC3969413","NIHMS559781","10.1007/s00213-013-3393-1"
"29232969","PTSD Symptoms Mediate the Relationship Between Sexual Abuse and Substance Use Risk in Juvenile Justice-Involved Youth","Sanders J, Hershberger AR, Kolp HM, Um M, Aalsma M, Cyders MA.","Child Maltreat. 2018 Aug;23(3):226-233. doi: 10.1177/1077559517745154. Epub 2017 Dec 12.","Sanders J","Child Maltreat","2018","2017/12/14","PMC5799032","NIHMS934143","10.1177/1077559517745154"
"25496707","Treatment outcomes for substance use disorder among women of reproductive age in Massachusetts: a population-based approach","Bernstein J, Derrington TM, Belanoff C, Cabral HJ, Babakhanlou-Chase H, Diop H, Evans SR, Jacobs H, Kotelchuck M.","Drug Alcohol Depend. 2015 Feb 1;147:151-9. doi: 10.1016/j.drugalcdep.2014.11.025. Epub 2014 Dec 4.","Bernstein J","Drug Alcohol Depend","2015","2014/12/16","PMC4297726","NIHMS646799","10.1016/j.drugalcdep.2014.11.025"
"33648675","Drug addiction co-morbidity with alcohol: Neurobiological insights","McGinn MA, Pantazis CB, Tunstall BJ, Marchette RCN, Carlson ER, Said N, Koob GF, Vendruscolo LF.","Int Rev Neurobiol. 2021;157:409-472. doi: 10.1016/bs.irn.2020.11.002. Epub 2021 Feb 13.","McGinn MA","Int Rev Neurobiol","2021","2021/03/02","PMC12459666","NIHMS2110427","10.1016/bs.irn.2020.11.002"
"33653374","Examination of referral source and retention among women in residential substance use disorder treatment: a prospective follow-up study","Rivera D, Dueker D, Amaro H.","Subst Abuse Treat Prev Policy. 2021 Mar 2;16(1):21. doi: 10.1186/s13011-021-00357-y.","Rivera D","Subst Abuse Treat Prev Policy","2021","2021/03/03","PMC7927366","","10.1186/s13011-021-00357-y"
"27692192","Mortality Rates Among Substance Use Disorder Participants in Clinical Trials: Pooled Analysis of Twenty-Two Clinical Trials Within the National Drug Abuse Treatment Clinical Trials Network","Lindblad R, Hu L, Oden N, Wakim P, Rosa C, VanVeldhuisen P.","J Subst Abuse Treat. 2016 Nov;70:73-80. doi: 10.1016/j.jsat.2016.08.010. Epub 2016 Aug 15.","Lindblad R","J Subst Abuse Treat","2016","2016/10/04","PMC5117359","NIHMS810903","10.1016/j.jsat.2016.08.010"
