PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34059669","Impaired calcium signaling in astrocytes modulates autism spectrum disorder-like behaviors in mice","Wang Q, Kong Y, Wu DY, Liu JH, Jie W, You QL, Huang L, Hu J, Chu HD, Gao F, Hu NY, Luo ZC, Li XW, Li SJ, Wu ZF, Li YL, Yang JM, Gao TM.","Nat Commun. 2021 May 31;12(1):3321. doi: 10.1038/s41467-021-23843-0.","Wang Q","Nat Commun","2021","2021/06/01","PMC8166865","","10.1038/s41467-021-23843-0"
"29237331","Autism spectrum disorder: Consensus guidelines on assessment, treatment and research from the British Association for Psychopharmacology","Howes OD, Rogdaki M, Findon JL, Wichers RH, Charman T, King BH, Loth E, McAlonan GM, McCracken JT, Parr JR, Povey C, Santosh P, Wallace S, Simonoff E, Murphy DG.","J Psychopharmacol. 2018 Jan;32(1):3-29. doi: 10.1177/0269881117741766. Epub 2017 Dec 14.","Howes OD","J Psychopharmacol","2018","2017/12/15","PMC5805024","EMS75921","10.1177/0269881117741766"
"26186191","FOXG1-Dependent Dysregulation of GABA/Glutamate Neuron Differentiation in Autism Spectrum Disorders","Mariani J, Coppola G, Zhang P, Abyzov A, Provini L, Tomasini L, Amenduni M, Szekely A, Palejev D, Wilson M, Gerstein M, Grigorenko EL, Chawarska K, Pelphrey KA, Howe JR, Vaccarino FM.","Cell. 2015 Jul 16;162(2):375-390. doi: 10.1016/j.cell.2015.06.034.","Mariani J","Cell","2015","2015/07/18","PMC4519016","NIHMS705244","10.1016/j.cell.2015.06.034"
"38306525","The correlation between gut microbiota and both neurotransmitters and mental disorders: A narrative review","Mhanna A, Martini N, Hmaydoosh G, Hamwi G, Jarjanazi M, Zaifah G, Kazzazo R, Haji Mohamad A, Alshehabi Z.","Medicine (Baltimore). 2024 Feb 2;103(5):e37114. doi: 10.1097/MD.0000000000037114.","Mhanna A","Medicine (Baltimore)","2024","2024/02/02","PMC10843545","","10.1097/MD.0000000000037114"
"40505628","ESC models of autism with copy-number variations reveal cell-type-specific translational vulnerability","Nomura J, Zuko A, Kishimoto K, Mutsumine H, Maegawa H, Fukatsu K, Nomura Y, Liu X, Nakai N; ES Library team; Takahashi E, Kouno T, Shin JW, Takumi T.","Cell Genom. 2025 Jun 11;5(6):100877. doi: 10.1016/j.xgen.2025.100877.","Nomura J","Cell Genom","2025","2025/06/12","PMC12230234","","10.1016/j.xgen.2025.100877"
"34172755","Neuronal and glial 3D chromatin architecture informs the cellular etiology of brain disorders","Hu B, Won H, Mah W, Park RB, Kassim B, Spiess K, Kozlenkov A, Crowley CA, Pochareddy S; PsychENCODE Consortium; Li Y, Dracheva S, Sestan N, Akbarian S, Geschwind DH.","Nat Commun. 2021 Jun 25;12(1):3968. doi: 10.1038/s41467-021-24243-0.","Hu B","Nat Commun","2021","2021/06/26","PMC8233376","","10.1038/s41467-021-24243-0"
"40048808","Ion channels and G protein-coupled receptors: Cannabidiol actions on disorders of excitability and synaptic excitatory-inhibitory ratio","Tsien RW, Rosenberg EC.","Mol Pharmacol. 2025 Mar;107(3):100017. doi: 10.1016/j.molpha.2025.100017. Epub 2025 Feb 7.","Tsien RW","Mol Pharmacol","2025","2025/03/06","PMC13095461","","10.1016/j.molpha.2025.100017"
"25813603","Inhibition-Based Biomarkers for Autism Spectrum Disorder","Levin AR, Nelson CA.","Neurotherapeutics. 2015 Jul;12(3):546-52. doi: 10.1007/s13311-015-0350-1.","Levin AR","Neurotherapeutics","2015","2015/03/28","PMC4489951","","10.1007/s13311-015-0350-1"
"38279628","Brain glutathione and GABA+ levels in autistic children","Song Y, Hupfeld KE, Davies-Jenkins CW, Zöllner HJ, Murali-Manohar S, Mumuni AN, Crocetti D, Yedavalli V, Oeltzschner G, Alessi N, Batschelett MA, Puts NAJ, Mostofsky SH, Edden RAE.","Autism Res. 2024 Mar;17(3):512-528. doi: 10.1002/aur.3097. Epub 2024 Jan 26.","Song Y","Autism Res","2024","2024/01/27","PMC10963146","NIHMS1959966","10.1002/aur.3097"
"26951057","GABA and glycine in the developing brain","Ito S.","J Physiol Sci. 2016 Sep;66(5):375-9. doi: 10.1007/s12576-016-0442-7. Epub 2016 Mar 7.","Ito S","J Physiol Sci","2016","2016/03/09","PMC10717092","","10.1007/s12576-016-0442-7"
"34525943","Biomarkers for autism spectrum disorder: opportunities for magnetoencephalography (MEG)","Roberts TPL, Kuschner ES, Edgar JC.","J Neurodev Disord. 2021 Sep 15;13(1):34. doi: 10.1186/s11689-021-09385-y.","Roberts TPL","J Neurodev Disord","2021","2021/09/16","PMC8442415","","10.1186/s11689-021-09385-y"
"39779846","Molecular and cellular dynamics of the developing human neocortex","Wang L, Wang C, Moriano JA, Chen S, Zuo G, Cebrián-Silla A, Zhang S, Mukhtar T, Wang S, Song M, de Oliveira LG, Bi Q, Augustin JJ, Ge X, Paredes MF, Huang EJ, Alvarez-Buylla A, Duan X, Li J, Kriegstein AR.","Nature. 2025 Nov;647(8088):169-178. doi: 10.1038/s41586-024-08351-7. Epub 2025 Jan 8.","Wang L","Nature","2025","2025/01/08","PMC12589127","","10.1038/s41586-024-08351-7"
"38203207","Our Mental Health Is Determined by an Intrinsic Interplay between the Central Nervous System, Enteric Nerves, and Gut Microbiota","Dicks LMT.","Int J Mol Sci. 2023 Dec 19;25(1):38. doi: 10.3390/ijms25010038.","Dicks LMT","Int J Mol Sci","2023","2024/01/11","PMC10778721","","10.3390/ijms25010038"
"37647852","SLC6A1 variant pathogenicity, molecular function and phenotype: a genetic and clinical analysis","Stefanski A, Pérez-Palma E, Brünger T, Montanucci L, Gati C, Klöckner C, Johannesen KM, Goodspeed K, Macnee M, Deng AT, Aledo-Serrano Á, Borovikov A, Kava M, Bouman AM, Hajianpour MJ, Pal DK, Engelen M, Hagebeuk EEO, Shinawi M, Heidlebaugh AR, Oetjens K, Hoffman TL, Striano P, Freed AS, Futtrup L, Balslev T, Abulí A, Danvoye L, Lederer D, Balci T, Nouri MN, Butler E, Drewes S, van Engelen K, Howell KB, Khoury J, May P, Trinidad M, Froelich S, Lemke JR, Tiller J, Freed AN, Kang JQ, Wuster A, Møller RS, Lal D.","Brain. 2023 Dec 1;146(12):5198-5208. doi: 10.1093/brain/awad292.","Stefanski A","Brain","2023","2023/08/30","PMC10689929","","10.1093/brain/awad292"
"38796123","Neurometabolite differences in Autism as assessed with Magnetic Resonance Spectroscopy: A systematic review and meta-analysis","Thomson AR, Pasanta D, Arichi T, Puts NA.","Neurosci Biobehav Rev. 2024 Jul;162:105728. doi: 10.1016/j.neubiorev.2024.105728. Epub 2024 May 23.","Thomson AR","Neurosci Biobehav Rev","2024","2024/05/25","PMC11602446","","10.1016/j.neubiorev.2024.105728"
"25904555","Ionotropic GABA and Glutamate Receptor Mutations and Human Neurologic Diseases","Yuan H, Low CM, Moody OA, Jenkins A, Traynelis SF.","Mol Pharmacol. 2015 Jul;88(1):203-17. doi: 10.1124/mol.115.097998. Epub 2015 Apr 22.","Yuan H","Mol Pharmacol","2015","2015/04/24","PMC4468639","","10.1124/mol.115.097998"
"31150555","The Fragile Brain: Stress Vulnerability, Negative Affect and GABAergic Neurocircuits in Psychosis","Taylor SF, Grove TB, Ellingrod VL, Tso IF.","Schizophr Bull. 2019 Oct 24;45(6):1170-1183. doi: 10.1093/schbul/sbz046.","Taylor SF","Schizophr Bull","2019","2019/06/01","PMC6811817","","10.1093/schbul/sbz046"
"38576253","GABA and Glx predict EEG responses of visual sensitivity in autism","Sapey-Triomphe LA, Puts NAJ, Costa TL, Wagemans J.","Autism Res. 2024 May;17(5):917-922. doi: 10.1002/aur.3130. Epub 2024 Apr 4.","Sapey-Triomphe LA","Autism Res","2024","2024/04/05","","","10.1002/aur.3130"
"39125882","Neurotrophins and Their Receptors: BDNF's Role in GABAergic Neurodevelopment and Disease","Hernández-Del Caño C, Varela-Andrés N, Cebrián-León A, Deogracias R.","Int J Mol Sci. 2024 Jul 30;25(15):8312. doi: 10.3390/ijms25158312.","Hernández-Del Caño C","Int J Mol Sci","2024","2024/08/10","PMC11311851","","10.3390/ijms25158312"
"32985165","[Advances on GABAergic interneurons in autism spectrum disorders]","Li J, Xu J, Luo J.","Zhejiang Da Xue Xue Bao Yi Xue Ban. 2020 Aug 25;49(4):508-513. doi: 10.3785/j.issn.1008-9292.2020.08.10.","Li J","Zhejiang Da Xue Xue Bao Yi Xue Ban","2020","2020/09/28","PMC8800729","","10.3785/j.issn.1008-9292.2020.08.10"
"40495546","Developmental Disturbances in Animal Models of Autism Spectrum Disorder","Laszlo K, Bacova Z, Zelena D, Bakos J.","Dev Neurobiol. 2025 Jul;85(3):e22977. doi: 10.1002/dneu.22977.","Laszlo K","Dev Neurobiol","2025","2025/06/11","PMC12152516","","10.1002/dneu.22977"
"40301990","A multi-omic approach implicates novel protein dysregulation in post-traumatic stress disorder","Wang J, Liu Y, Li H, Nguyen TP, Soto-Vargas JL, Wilson R, Wang W, Lam TT, Zhang C, Lin C; Traumatic Stress Brain Research Group; Lewis DA, Glausier J, Holtzheimer PE, Friedman MJ, Williams KR, Picciotto MR, Nairn AC, Krystal JH, Duman RS, Young KA, Zhao H, Girgenti MJ.","Genome Med. 2025 Apr 29;17(1):43. doi: 10.1186/s13073-025-01473-1.","Wang J","Genome Med","2025","2025/04/29","PMC12042318","","10.1186/s13073-025-01473-1"
"32166503","Autoimmune encephalitis as a differential diagnosis of schizophreniform psychosis: clinical symptomatology, pathophysiology, diagnostic approach, and therapeutic considerations","Endres D, Leypoldt F, Bechter K, Hasan A, Steiner J, Domschke K, Wandinger KP, Falkai P, Arolt V, Stich O, Rauer S, Prüss H, van Elst LT.","Eur Arch Psychiatry Clin Neurosci. 2020 Oct;270(7):803-818. doi: 10.1007/s00406-020-01113-2. Epub 2020 Mar 12.","Endres D","Eur Arch Psychiatry Clin Neurosci","2020","2020/03/14","PMC7474714","","10.1007/s00406-020-01113-2"
"34058332","GABA and glutamate in the preterm neonatal brain: In-vivo measurement by magnetic resonance spectroscopy","Basu SK, Pradhan S, du Plessis AJ, Ben-Ari Y, Limperopoulos C.","Neuroimage. 2021 Sep;238:118215. doi: 10.1016/j.neuroimage.2021.118215. Epub 2021 May 28.","Basu SK","Neuroimage","2021","2021/05/31","PMC8404144","NIHMS1730646","10.1016/j.neuroimage.2021.118215"
"40957533","Choroid plexus alterations in autism spectrum disorder: A PET-MRI study","Lila Y, Tseng CJ, Johnston EG, Canales C, McDougle CJ, Hooker JM, Zürcher NR.","Brain Behav Immun. 2025 Nov;130:106110. doi: 10.1016/j.bbi.2025.106110. Epub 2025 Sep 14.","Lila Y","Brain Behav Immun","2025","2025/09/16","","","10.1016/j.bbi.2025.106110"
"40568709","Neurodevelopmental disorders and gut-brain interactions: exploring the therapeutic potential of pycnogenol through microbial-metabolic-neural networks","Chen L, Li Z, Fan Y.","Front Cell Infect Microbiol. 2025 Jun 11;15:1601888. doi: 10.3389/fcimb.2025.1601888. eCollection 2025.","Chen L","Front Cell Infect Microbiol","2025","2025/06/26","PMC12187855","","10.3389/fcimb.2025.1601888"
"29729285","Chloride transporters and GABA polarity in developmental, neurological and psychiatric conditions","Schulte JT, Wierenga CJ, Bruining H.","Neurosci Biobehav Rev. 2018 Jul;90:260-271. doi: 10.1016/j.neubiorev.2018.05.001. Epub 2018 May 2.","Schulte JT","Neurosci Biobehav Rev","2018","2018/05/06","","","10.1016/j.neubiorev.2018.05.001"
"21826280","Autism: a ""critical period"" disorder?","LeBlanc JJ, Fagiolini M.","Neural Plast. 2011;2011:921680. doi: 10.1155/2011/921680. Epub 2011 Aug 3.","LeBlanc JJ","Neural Plast","2011","2011/08/10","PMC3150222","","10.1155/2011/921680"
"40603861","A single main-chain hydrogen bond required to keep GABA(A) receptors closed","Borghese CM, Galpin JD, Eriksson Lidbrink S, Zhuang Y, Desai NG, Howard RJ, Lindahl E, Ahern CA, Goldschen-Ohm MP.","Nat Commun. 2025 Jul 3;16(1):6107. doi: 10.1038/s41467-025-61447-0.","Borghese CM","Nat Commun","2025","2025/07/02","PMC12222489","","10.1038/s41467-025-61447-0"
"36054859","[Autism. Neurobiological aspects]","Ruggieri V.","Medicina (B Aires). 2022 Aug 30;82 Suppl 3:57-61.","Ruggieri V","Medicina (B Aires)","2022","2022/09/02","","",""
"31495451","Intergenerational Metabolic Syndrome and Neuronal Network Hyperexcitability in Autism","Rivell A, Mattson MP.","Trends Neurosci. 2019 Oct;42(10):709-726. doi: 10.1016/j.tins.2019.08.006. Epub 2019 Sep 5.","Rivell A","Trends Neurosci","2019","2019/09/10","PMC6779523","NIHMS1537205","10.1016/j.tins.2019.08.006"
"31356900","Tuning GABAergic Inhibition: Gephyrin Molecular Organization and Functions","Pizzarelli R, Griguoli M, Zacchi P, Petrini EM, Barberis A, Cattaneo A, Cherubini E.","Neuroscience. 2020 Jul 15;439:125-136. doi: 10.1016/j.neuroscience.2019.07.036. Epub 2019 Jul 26.","Pizzarelli R","Neuroscience","2020","2019/07/30","PMC7351109","","10.1016/j.neuroscience.2019.07.036"
"40925922","Local activity alterations in individuals with autism correlate with neurotransmitter properties and ketamine-induced brain changes","Grumbach P, Kasper J, Hipp JF, Forsyth A, Valk SL, Muthukumaraswamy S, Eickhoff SB, Schilbach L, Dukart J.","Nat Commun. 2025 Sep 9;16(1):8248. doi: 10.1038/s41467-025-63857-6.","Grumbach P","Nat Commun","2025","2025/09/09","PMC12420803","","10.1038/s41467-025-63857-6"
"39895633","Gene-replacement therapy in neurodevelopmental disorders: progress and challenges","Lerche H, Hedrich UB, Wuttke TV.","J Clin Invest. 2025 Feb 3;135(3):e188703. doi: 10.1172/JCI188703.","Lerche H","J Clin Invest","2025","2025/02/03","PMC11785917","","10.1172/JCI188703"
"33686214","Neurobiology of ARID1B haploinsufficiency related to neurodevelopmental and psychiatric disorders","Moffat JJ, Smith AL, Jung EM, Ka M, Kim WY.","Mol Psychiatry. 2022 Jan;27(1):476-489. doi: 10.1038/s41380-021-01060-x. Epub 2021 Mar 8.","Moffat JJ","Mol Psychiatry","2022","2021/03/09","PMC8423853","NIHMS1675461","10.1038/s41380-021-01060-x"
"34830337","Significance of GABA(A) Receptor for Cognitive Function and Hippocampal Pathology","Sakimoto Y, Oo PM, Goshima M, Kanehisa I, Tsukada Y, Mitsushima D.","Int J Mol Sci. 2021 Nov 18;22(22):12456. doi: 10.3390/ijms222212456.","Sakimoto Y","Int J Mol Sci","2021","2021/11/27","PMC8623595","","10.3390/ijms222212456"
"33862031","Losing balance: Kainate receptors and psychiatric disorders comorbidities","Valbuena S, Lerma J.","Neuropharmacology. 2021 Jun 15;191:108558. doi: 10.1016/j.neuropharm.2021.108558. Epub 2021 Apr 20.","Valbuena S","Neuropharmacology","2021","2021/04/16","","","10.1016/j.neuropharm.2021.108558"
"21934270","Fragile X syndrome: the GABAergic system and circuit dysfunction","Paluszkiewicz SM, Martin BS, Huntsman MM.","Dev Neurosci. 2011;33(5):349-64. doi: 10.1159/000329420. Epub 2011 Sep 21.","Paluszkiewicz SM","Dev Neurosci","2011","2011/09/22","PMC3254035","","10.1159/000329420"
"40645945","Gut microbiota and brain-resident CD4(+) T cells shape behavioral outcomes in autism spectrum disorder","Park JC, Sim MA, Lee C, Park HE, Lee J, Choi SY, Byun S, Ko H, Lee H, Kim SW, Noh J, Park G, Lee S, Kim TK, Im SH.","Nat Commun. 2025 Jul 11;16(1):6422. doi: 10.1038/s41467-025-61544-0.","Park JC","Nat Commun","2025","2025/07/11","PMC12254219","","10.1038/s41467-025-61544-0"
"33549742","The postnatal GABA shift: A developmental perspective","Peerboom C, Wierenga CJ.","Neurosci Biobehav Rev. 2021 May;124:179-192. doi: 10.1016/j.neubiorev.2021.01.024. Epub 2021 Feb 4.","Peerboom C","Neurosci Biobehav Rev","2021","2021/02/07","","","10.1016/j.neubiorev.2021.01.024"
"41096762","The Role of GABA Pathway Components in Pathogenesis of Neurodevelopmental Disorders","Marilovtseva EV, Abdurazakov A, Kurishev AO, Mikhailova VA, Golimbet VE.","Int J Mol Sci. 2025 Sep 28;26(19):9492. doi: 10.3390/ijms26199492.","Marilovtseva EV","Int J Mol Sci","2025","2025/10/16","PMC12524522","","10.3390/ijms26199492"
"40929913","Autism and the Oral Microbiome: A Systematic Review of Host-microbial Interactions and Diversity","Fakhruddin KS, Kamal I, Maglaperidze T, Marya A, Samaranayake L, Porntaveetus T.","Int Dent J. 2025 Dec;75(6):100957. doi: 10.1016/j.identj.2025.100957. Epub 2025 Sep 9.","Fakhruddin KS","Int Dent J","2025","2025/09/10","PMC12455128","","10.1016/j.identj.2025.100957"
"35625650","PPARα Signaling: A Candidate Target in Psychiatric Disorder Management","Scheggi S, Pinna G, Braccagni G, De Montis MG, Gambarana C.","Biomolecules. 2022 May 20;12(5):723. doi: 10.3390/biom12050723.","Scheggi S","Biomolecules","2022","2022/05/28","PMC9138493","","10.3390/biom12050723"
"40806233","Neuroplasticity-Based Approaches to Sensory Processing Alterations in Autism Spectrum Disorder","Suprunowicz M, Bogucka J, Szczerbińska N, Modzelewski S, Oracz AJ, Konarzewska B, Waszkiewicz N.","Int J Mol Sci. 2025 Jul 23;26(15):7102. doi: 10.3390/ijms26157102.","Suprunowicz M","Int J Mol Sci","2025","2025/08/14","PMC12346777","","10.3390/ijms26157102"
"35383319","In vivo imaging translocator protein (TSPO) in autism spectrum disorder","Simpson D, Gharehgazlou A, Da Silva T, Labrie-Cleary C, Wilson AA, Meyer JH, Mizrahi R, Rusjan PM.","Neuropsychopharmacology. 2022 Jun;47(7):1421-1427. doi: 10.1038/s41386-022-01306-4. Epub 2022 Apr 5.","Simpson D","Neuropsychopharmacology","2022","2022/04/06","PMC9117200","","10.1038/s41386-022-01306-4"
"21766041","Alterations of GABAergic signaling in autism spectrum disorders","Pizzarelli R, Cherubini E.","Neural Plast. 2011;2011:297153. doi: 10.1155/2011/297153. Epub 2011 Jun 23.","Pizzarelli R","Neural Plast","2011","2011/07/19","PMC3134996","","10.1155/2011/297153"
"35456477","Electrophysiological and Behavioral Evidence for Hyper- and Hyposensitivity in Rare Genetic Syndromes Associated with Autism","Neklyudova A, Smirnov K, Rebreikina A, Martynova O, Sysoeva O.","Genes (Basel). 2022 Apr 11;13(4):671. doi: 10.3390/genes13040671.","Neklyudova A","Genes (Basel)","2022","2022/04/23","PMC9027402","","10.3390/genes13040671"
"36316421","Non-invasive brain stimulation modulates GABAergic activity in neurofibromatosis 1","Garg S, Williams S, Jung J, Pobric G, Nandi T, Lim B, Vassallo G, Green J, Evans DG, Stagg CJ, Parkes LM, Stivaros S.","Sci Rep. 2022 Oct 31;12(1):18297. doi: 10.1038/s41598-022-21907-9.","Garg S","Sci Rep","2022","2022/11/01","PMC9622815","","10.1038/s41598-022-21907-9"
"27421181","Measuring neural excitation and inhibition in autism: Different approaches, different findings and different interpretations","Dickinson A, Jones M, Milne E.","Brain Res. 2016 Oct 1;1648(Pt A):277-289. doi: 10.1016/j.brainres.2016.07.011. Epub 2016 Jul 12.","Dickinson A","Brain Res","2016","2016/07/17","","","10.1016/j.brainres.2016.07.011"
"31280658","Autophagy links MTOR and GABA signaling in the brain","Hui KK, Tanaka M.","Autophagy. 2019 Oct;15(10):1848-1849. doi: 10.1080/15548627.2019.1637643. Epub 2019 Jul 7.","Hui KK","Autophagy","2019","2019/07/09","PMC6735627","","10.1080/15548627.2019.1637643"
"23370056","Decreased left perisylvian GABA concentration in children with autism and unaffected siblings","Rojas DC, Singel D, Steinmetz S, Hepburn S, Brown MS.","Neuroimage. 2014 Feb 1;86:28-34. doi: 10.1016/j.neuroimage.2013.01.045. Epub 2013 Jan 28.","Rojas DC","Neuroimage","2014","2013/02/02","PMC3773530","NIHMS440029","10.1016/j.neuroimage.2013.01.045"
"33255508","WWOX Loss of Function in Neurodevelopmental and Neurodegenerative Disorders","Aldaz CM, Hussain T.","Int J Mol Sci. 2020 Nov 24;21(23):8922. doi: 10.3390/ijms21238922.","Aldaz CM","Int J Mol Sci","2020","2020/12/01","PMC7727818","","10.3390/ijms21238922"
"41174051","Autism-associated ARHGEF9 variants impair GABAergic synapses and ultrasonic communication by reducing gephyrin phosphorylation","Jung H, Kim B, Jang G, Lee H, Kim Y, Kim H, Lee HJ, Kim D, Yang Y, Jeong WC, Kim S, Han AR, Kim HM, Papadopoulos T, Durand B, Francannet C, Piton A, Kim JY, Ko J, Um JW.","Mol Psychiatry. 2026 Mar;31(3):1757-1773. doi: 10.1038/s41380-025-03313-5. Epub 2025 Oct 31.","Jung H","Mol Psychiatry","2026","2025/11/01","PMC12916317","","10.1038/s41380-025-03313-5"
"27145016","Brain GABA levels across psychiatric disorders: A systematic literature review and meta-analysis of (1) H-MRS studies","Schür RR, Draisma LW, Wijnen JP, Boks MP, Koevoets MG, Joëls M, Klomp DW, Kahn RS, Vinkers CH.","Hum Brain Mapp. 2016 Sep;37(9):3337-52. doi: 10.1002/hbm.23244. Epub 2016 May 4.","Schür RR","Hum Brain Mapp","2016","2016/05/05","PMC6867515","","10.1002/hbm.23244"
"39809266","Gut microbial GABA imbalance emerges as a metabolic signature in mild autism spectrum disorder linked to overrepresented Escherichia","Wang D, Jiang Y, Jiang J, Pan Y, Yang Y, Fang X, Liang L, Li H, Dong Z, Fan S, Ma D, Zhang XS, Li H, He Y, Li N.","Cell Rep Med. 2025 Jan 21;6(1):101919. doi: 10.1016/j.xcrm.2024.101919. Epub 2025 Jan 13.","Wang D","Cell Rep Med","2025","2025/01/14","PMC11866488","","10.1016/j.xcrm.2024.101919"
"41277234","Gut microbiota dysbiosis at the interface of neuropsychiatric disorders and their dermatological comorbidities","Hawkins B, Montgomery M, Bokota G, Santoyo M, Giron E, Eltokhi A.","Gut Microbes. 2025 Dec 31;17(1):2574934. doi: 10.1080/19490976.2025.2574934. Epub 2025 Nov 24.","Hawkins B","Gut Microbes","2025","2025/11/24","PMC12645903","","10.1080/19490976.2025.2574934"
"37854197","Thyroid hormone action during GABAergic neuron maturation: The quest for mechanisms","Richard S, Ren J, Flamant F.","Front Endocrinol (Lausanne). 2023 Oct 3;14:1256877. doi: 10.3389/fendo.2023.1256877. eCollection 2023.","Richard S","Front Endocrinol (Lausanne)","2023","2023/10/19","PMC10579935","","10.3389/fendo.2023.1256877"
"28786979","Basolateral amygdala and stress-induced hyperexcitability affect motivated behaviors and addiction","Sharp BM.","Transl Psychiatry. 2017 Aug 8;7(8):e1194. doi: 10.1038/tp.2017.161.","Sharp BM","Transl Psychiatry","2017","2017/08/09","PMC5611728","","10.1038/tp.2017.161"
"38549163","The gut metabolite indole-3-propionic acid activates ERK1 to restore social function and hippocampal inhibitory synaptic transmission in a 16p11.2 microdeletion mouse model","Jiang J, Wang D, Jiang Y, Yang X, Sun R, Chang J, Zhu W, Yao P, Song K, Chang S, Wang H, Zhou L, Zhang XS, Li H, Li N.","Microbiome. 2024 Mar 28;12(1):66. doi: 10.1186/s40168-024-01755-7.","Jiang J","Microbiome","2024","2024/03/29","PMC10976717","","10.1186/s40168-024-01755-7"
