PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"28351467","Attention-Deficit/Hyperactivity Disorder","Banaschewski T, Becker K, Döpfner M, Holtmann M, Rösler M, Romanos M.","Dtsch Arztebl Int. 2017 Mar 3;114(9):149-159. doi: 10.3238/arztebl.2017.0149.","Banaschewski T","Dtsch Arztebl Int","2017","2017/03/30","PMC5378980","","10.3238/arztebl.2017.0149"
"24560930","ADHD, altered dopamine neurotransmission, and disrupted reinforcement processes: implications for smoking and nicotine dependence","Kollins SH, Adcock RA.","Prog Neuropsychopharmacol Biol Psychiatry. 2014 Jul 3;52:70-8. doi: 10.1016/j.pnpbp.2014.02.002. Epub 2014 Feb 18.","Kollins SH","Prog Neuropsychopharmacol Biol Psychiatry","2014","2014/02/25","PMC4004668","NIHMS570905","10.1016/j.pnpbp.2014.02.002"
"33843998","Overdiagnosis of Attention-Deficit/Hyperactivity Disorder in Children and Adolescents: A Systematic Scoping Review","Kazda L, Bell K, Thomas R, McGeechan K, Sims R, Barratt A.","JAMA Netw Open. 2021 Apr 1;4(4):e215335. doi: 10.1001/jamanetworkopen.2021.5335.","Kazda L","JAMA Netw Open","2021","2021/04/12","PMC8042533","","10.1001/jamanetworkopen.2021.5335"
"25655767","Treatments for Adolescents With Comorbid ADHD and Substance Use Disorder: A Systematic Review","Zaso MJ, Park A, Antshel KM.","J Atten Disord. 2020 Jul;24(9):1215-1226. doi: 10.1177/1087054715569280. Epub 2015 Feb 5.","Zaso MJ","J Atten Disord","2020","2015/02/07","PMC4666815","NIHMS738530","10.1177/1087054715569280"
"29198277","Attention-Deficit/Hyperactivity Disorder: A Historical Neuropsychological Perspective","Mahone EM, Denckla MB.","J Int Neuropsychol Soc. 2017 Oct;23(9-10):916-929. doi: 10.1017/S1355617717000807.","Mahone EM","J Int Neuropsychol Soc","2017","2017/12/05","PMC5724393","NIHMS924361","10.1017/S1355617717000807"
"29587355","Rationale for Dietary Antioxidant Treatment of ADHD","Verlaet AAJ, Maasakkers CM, Hermans N, Savelkoul HFJ.","Nutrients. 2018 Mar 24;10(4):405. doi: 10.3390/nu10040405.","Verlaet AAJ","Nutrients","2018","2018/03/29","PMC5946190","","10.3390/nu10040405"
"29337649","Neurocognitive Deficits Associated With ADHD in Athletes: A Systematic Review","Poysophon P, Rao AL.","Sports Health. 2018 Jul-Aug;10(4):317-326. doi: 10.1177/1941738117751387. Epub 2018 Jan 16.","Poysophon P","Sports Health","2018","2018/01/17","PMC6044120","","10.1177/1941738117751387"
"28025755","Parent ADHD and Evidence-Based Treatment for Their Children: Review and Directions for Future Research","Chronis-Tuscano A, Wang CH, Woods KE, Strickland J, Stein MA.","J Abnorm Child Psychol. 2017 Apr;45(3):501-517. doi: 10.1007/s10802-016-0238-5.","Chronis-Tuscano A","J Abnorm Child Psychol","2017","2016/12/28","PMC5357146","NIHMS839252","10.1007/s10802-016-0238-5"
"29039714","Causal Factors of Increased Smoking in ADHD: A Systematic Review","van Amsterdam J, van der Velde B, Schulte M, van den Brink W.","Subst Use Misuse. 2018 Feb 23;53(3):432-445. doi: 10.1080/10826084.2017.1334066. Epub 2017 Oct 17.","van Amsterdam J","Subst Use Misuse","2018","2017/10/18","","","10.1080/10826084.2017.1334066"
"27283405","An attachment research perspective on ADHD","Kissgen R, Franke S.","Neuropsychiatr. 2016 Jun;30(2):63-8. doi: 10.1007/s40211-016-0182-1. Epub 2016 Jun 9.","Kissgen R","Neuropsychiatr","2016","2016/06/11","PMC4917589","","10.1007/s40211-016-0182-1"
"23488944","More attention to ADHD","Sakakihara Y.","Dev Med Child Neurol. 2013 Apr;55(4):296. doi: 10.1111/dmcn.12135.","Sakakihara Y","Dev Med Child Neurol","2013","2013/03/16","","","10.1111/dmcn.12135"
"27399221","The treatment of dual ADHD: a drop in the ocean","Cunill R, Castells X.","Adicciones. 2016 Jun 15;28(3):131-5. doi: 10.20882/adicciones.836.","Cunill R","Adicciones","2016","2016/07/12","","","10.20882/adicciones.836"
"27907271","Adult Attention-Deficit/Hyperactivity Disorder Diagnosis, Management, and Treatment in the DSM-5 Era","Young JL, Goodman DW.","Prim Care Companion CNS Disord. 2016 Nov 17;18(6). doi: 10.4088/PCC.16r02000.","Young JL","Prim Care Companion CNS Disord","2016","2016/12/02","","","10.4088/PCC.16r02000"
"23381169","[Assessment of ADHD with EEG]","Sand T, Breivik N, Herigstad A.","Tidsskr Nor Laegeforen. 2013 Feb 5;133(3):312-6. doi: 10.4045/tidsskr.12.0224.","Sand T","Tidsskr Nor Laegeforen","2013","2013/02/06","","","10.4045/tidsskr.12.0224"
"24884622","The association of ADHD symptoms to self-harm behaviours: a systematic PRISMA review","Allely CS.","BMC Psychiatry. 2014 May 7;14:133. doi: 10.1186/1471-244X-14-133.","Allely CS","BMC Psychiatry","2014","2014/06/03","PMC4020381","","10.1186/1471-244X-14-133"
"39252018","ADHD: prevalence and effect on opioid use disorder treatment outcome in a French sample of patients receiving medication for opioid use disorder-the influence of impulsivity as a mediating factor","Beslot A, Grall-Bronnec M, Balem M, Schreck B, Laforgue EJ, Victorri-Vigneau C, Guillou-Landreat M, Leboucher J; OPAL-Group; Challet-Bouju G, Cabelguen C.","Harm Reduct J. 2024 Sep 9;21(1):165. doi: 10.1186/s12954-024-01079-7.","Beslot A","Harm Reduct J","2024","2024/09/09","PMC11382469","","10.1186/s12954-024-01079-7"
"26787097","Computational Psychiatry of ADHD: Neural Gain Impairments across Marrian Levels of Analysis","Hauser TU, Fiore VG, Moutoussis M, Dolan RJ.","Trends Neurosci. 2016 Feb;39(2):63-73. doi: 10.1016/j.tins.2015.12.009. Epub 2016 Jan 17.","Hauser TU","Trends Neurosci","2016","2016/01/21","PMC4746317","","10.1016/j.tins.2015.12.009"
"24142127","Developments and challenges in the diagnosis and treatment of ADHD","Dias TG, Kieling C, Graeff-Martins AS, Moriyama TS, Rohde LA, Polanczyk GV.","Braz J Psychiatry. 2013;35 Suppl 1:S40-50. doi: 10.1590/1516-4446-2013-S103.","Dias TG","Braz J Psychiatry","2013","2013/10/22","","","10.1590/1516-4446-2013-S103"
"33528652","ADHD at the workplace: ADHD symptoms, diagnostic status, and work-related functioning","Fuermaier ABM, Tucha L, Butzbach M, Weisbrod M, Aschenbrenner S, Tucha O.","J Neural Transm (Vienna). 2021 Jul;128(7):1021-1031. doi: 10.1007/s00702-021-02309-z. Epub 2021 Feb 2.","Fuermaier ABM","J Neural Transm (Vienna)","2021","2021/02/02","PMC8295111","","10.1007/s00702-021-02309-z"
"33439363","Feigning ADHD and stimulant misuse among Dutch university students","Fuermaier ABM, Tucha O, Koerts J, Tucha L, Thome J, Faltraco F.","J Neural Transm (Vienna). 2021 Jul;128(7):1079-1084. doi: 10.1007/s00702-020-02296-7. Epub 2021 Jan 13.","Fuermaier ABM","J Neural Transm (Vienna)","2021","2021/01/13","PMC8295135","","10.1007/s00702-020-02296-7"
"28532333","Interpreting the inner world of ADHD children: psychoanalytic perspectives","Salomonsson B.","Int J Qual Stud Health Well-being. 2017 Jun;12(sup1):1298269. doi: 10.1080/17482631.2017.1298269.","Salomonsson B","Int J Qual Stud Health Well-being","2017","2017/05/24","PMC5510193","","10.1080/17482631.2017.1298269"
"28159610","Brain imaging genetics in ADHD and beyond - Mapping pathways from gene to disorder at different levels of complexity","Klein M, Onnink M, van Donkelaar M, Wolfers T, Harich B, Shi Y, Dammers J, Arias-Vásquez A, Hoogman M, Franke B.","Neurosci Biobehav Rev. 2017 Sep;80:115-155. doi: 10.1016/j.neubiorev.2017.01.013. Epub 2017 Jan 31.","Klein M","Neurosci Biobehav Rev","2017","2017/02/05","PMC6947924","NIHMS882132","10.1016/j.neubiorev.2017.01.013"
"33641514","Social Determinants of Health and ADHD Symptoms in Preschool-Age Children","Spencer AE, Oblath R, Sheldrick RC, Ng LC, Silverstein M, Garg A.","J Atten Disord. 2022 Feb;26(3):447-455. doi: 10.1177/1087054721996458. Epub 2021 Mar 1.","Spencer AE","J Atten Disord","2022","2021/03/01","PMC8408273","NIHMS1721320","10.1177/1087054721996458"
"28334570","Attention Deficit Hyperactivity Disorder (ADHD) and disordered eating behaviour: A systematic review and a framework for future research","Kaisari P, Dourish CT, Higgs S.","Clin Psychol Rev. 2017 Apr;53:109-121. doi: 10.1016/j.cpr.2017.03.002. Epub 2017 Mar 6.","Kaisari P","Clin Psychol Rev","2017","2017/03/24","","","10.1016/j.cpr.2017.03.002"
"33666104","Psychoeducation Intervention Effectiveness to Improve Social Skills in Young People with ADHD: A Meta-Analysis","Powell LA, Parker J, Weighall A, Harpin V.","J Atten Disord. 2022 Feb;26(3):340-357. doi: 10.1177/1087054721997553. Epub 2021 Mar 5.","Powell LA","J Atten Disord","2022","2021/03/05","PMC8785297","","10.1177/1087054721997553"
"27226208","Enhanced Physical Activity Improves Selected Outcomes in Children With ADHD: Systematic Review","Song M, Lauseng D, Lee S, Nordstrom M, Katch V.","West J Nurs Res. 2016 Sep;38(9):1155-84. doi: 10.1177/0193945916649954. Epub 2016 May 24.","Song M","West J Nurs Res","2016","2016/05/27","PMC9112868","NIHMS1601320","10.1177/0193945916649954"
"26717959","Topical Review: ADHD and Health-Risk Behaviors: Toward Prevention and Health Promotion","Schoenfelder EN, Kollins SH.","J Pediatr Psychol. 2016 Aug;41(7):735-40. doi: 10.1093/jpepsy/jsv162. Epub 2015 Dec 30.","Schoenfelder EN","J Pediatr Psychol","2016","2016/01/01","PMC6281045","","10.1093/jpepsy/jsv162"
"28351466","ADHD in Germany: Trends in Diagnosis and Pharmacotherapy","Bachmann CJ, Philipsen A, Hoffmann F.","Dtsch Arztebl Int. 2017 Mar 3;114(9):141-148. doi: 10.3238/arztebl.2017.0141.","Bachmann CJ","Dtsch Arztebl Int","2017","2017/03/30","PMC5378979","","10.3238/arztebl.2017.0141"
"33548493","Systematic Review: How the Attention-Deficit/Hyperactivity Disorder Polygenic Risk Score Adds to Our Understanding of ADHD and Associated Traits","Ronald A, de Bode N, Polderman TJC.","J Am Acad Child Adolesc Psychiatry. 2021 Oct;60(10):1234-1277. doi: 10.1016/j.jaac.2021.01.019. Epub 2021 Feb 4.","Ronald A","J Am Acad Child Adolesc Psychiatry","2021","2021/02/06","PMC11164195","NIHMS1978791","10.1016/j.jaac.2021.01.019"
"24336124","The Prevalence of ADHD in a Population-Based Sample","Rowland AS, Skipper BJ, Umbach DM, Rabiner DL, Campbell RA, Naftel AJ, Sandler DP.","J Atten Disord. 2015 Sep;19(9):741-54. doi: 10.1177/1087054713513799. Epub 2013 Dec 11.","Rowland AS","J Atten Disord","2015","2013/12/17","PMC4058092","NIHMS512771","10.1177/1087054713513799"
"27605006","What do general practitioners know about ADHD? Attitudes and knowledge among first-contact gatekeepers: systematic narrative review","Tatlow-Golden M, Prihodova L, Gavin B, Cullen W, McNicholas F.","BMC Fam Pract. 2016 Sep 7;17(1):129. doi: 10.1186/s12875-016-0516-x.","Tatlow-Golden M","BMC Fam Pract","2016","2016/09/09","PMC5013633","","10.1186/s12875-016-0516-x"
"28532324","Non-diagnostic based approaches to helping children who could be labelled ADHD and their families","Timimi S.","Int J Qual Stud Health Well-being. 2017 Jun;12(sup1):1298270. doi: 10.1080/17482631.2017.1298270.","Timimi S","Int J Qual Stud Health Well-being","2017","2017/05/24","PMC5510228","","10.1080/17482631.2017.1298270"
"24058638","Risky behavior in gambling tasks in individuals with ADHD--a systematic literature review","Groen Y, Gaastra GF, Lewis-Evans B, Tucha O.","PLoS One. 2013 Sep 13;8(9):e74909. doi: 10.1371/journal.pone.0074909. eCollection 2013.","Groen Y","PLoS One","2013","2013/09/24","PMC3772864","","10.1371/journal.pone.0074909"
"27307193","Management of ADHD in atypical populations","Dan B.","Dev Med Child Neurol. 2016 Jul;58(7):648. doi: 10.1111/dmcn.13158.","Dan B","Dev Med Child Neurol","2016","2016/06/17","","","10.1111/dmcn.13158"
"21973226","Where to with treatment for ADHD?","Nigg JT.","Curr Med Res Opin. 2011;27 Suppl 2(0 2):1-3. doi: 10.1185/03007995.2011.607573.","Nigg JT","Curr Med Res Opin","2011","2011/10/07","PMC4520225","NIHMS699596","10.1185/03007995.2011.607573"
"33752560","Slow drift rate predicts ADHD symptomology over and above executive dysfunction","Feldman JS, Huang-Pollock C.","Child Neuropsychol. 2021 Aug;27(6):834-855. doi: 10.1080/09297049.2021.1902490. Epub 2021 Mar 23.","Feldman JS","Child Neuropsychol","2021","2021/03/23","PMC8524780","NIHMS1687443","10.1080/09297049.2021.1902490"
"30132385","Outcomes of ADHD Symptoms in Late Adolescence: Are Developmental Subtypes Important?","Murray AL, Booth T, Auyeung B, Eisner M, Ribeaud D, Obsuth I.","J Atten Disord. 2020 Jan;24(1):113-125. doi: 10.1177/1087054718790588. Epub 2018 Aug 22.","Murray AL","J Atten Disord","2020","2018/08/23","PMC7611469","EMS130982","10.1177/1087054718790588"
"23668397","Cogmed Working Memory Training for youth with ADHD: a closer examination of efficacy utilizing evidence-based criteria","Chacko A, Feirsen N, Bedard AC, Marks D, Uderman JZ, Chimiklis A.","J Clin Child Adolesc Psychol. 2013;42(6):769-83. doi: 10.1080/15374416.2013.787622. Epub 2013 May 13.","Chacko A","J Clin Child Adolesc Psychol","2013","2013/05/15","PMC3744604","NIHMS460443","10.1080/15374416.2013.787622"
"29538185","Effects of Yoga on Attention, Impulsivity, and Hyperactivity in Preschool-Aged Children with Attention-Deficit Hyperactivity Disorder Symptoms","Cohen SCL, Harvey DJ, Shields RH, Shields GS, Rashedi RN, Tancredi DJ, Angkustsiri K, Hansen RL, Schweitzer JB.","J Dev Behav Pediatr. 2018 Apr;39(3):200-209. doi: 10.1097/DBP.0000000000000552.","Cohen SCL","J Dev Behav Pediatr","2018","2018/03/15","PMC5871620","NIHMS929231","10.1097/DBP.0000000000000552"
"29510390","International Consensus Statement on Screening, Diagnosis and Treatment of Substance Use Disorder Patients with Comorbid Attention Deficit/Hyperactivity Disorder","Crunelle CL, van den Brink W, Moggi F, Konstenius M, Franck J, Levin FR, van de Glind G, Demetrovics Z, Coetzee C, Luderer M, Schellekens A; ICASA consensus group; Matthys F.","Eur Addict Res. 2018;24(1):43-51. doi: 10.1159/000487767. Epub 2018 Mar 6.","Crunelle CL","Eur Addict Res","2018","2018/03/07","PMC5986068","NIHMS967310","10.1159/000487767"
"28004618","Organisation of services for managing ADHD","Coghill DR.","Epidemiol Psychiatr Sci. 2017 Oct;26(5):453-458. doi: 10.1017/S2045796016000937. Epub 2016 Dec 22.","Coghill DR","Epidemiol Psychiatr Sci","2017","2016/12/23","PMC6998894","","10.1017/S2045796016000937"
"33137342","DNA methylation associated with persistent ADHD suggests TARBP1 as novel candidate","Weiß AL, Meijer M, Budeus B, Pauper M, Hakobjan M, Groothuismink J, Shi Y, Neveling K, Buitelaar JK, Hoogman M, Franke B, Klein M.","Neuropharmacology. 2021 Feb 15;184:108370. doi: 10.1016/j.neuropharm.2020.108370. Epub 2020 Oct 31.","Weiß AL","Neuropharmacology","2021","2020/11/02","","","10.1016/j.neuropharm.2020.108370"
"33740922","Effects of equine-assisted activities on attention and quality of life in children with cerebral palsy in a randomized trial: examining the comorbidity with attention-deficit/hyperactivity disorder","Ahn B, Joung YS, Kwon JY, Lee DI, Oh S, Kim BU, Cha JY, Kim JH, Lee JY, Shin HY, Seo YS.","BMC Pediatr. 2021 Mar 19;21(1):135. doi: 10.1186/s12887-021-02597-0.","Ahn B","BMC Pediatr","2021","2021/03/20","PMC7976699","","10.1186/s12887-021-02597-0"
"24214969","Are There Executive Dysfunction Subtypes Within ADHD?","Roberts BA, Martel MM, Nigg JT.","J Atten Disord. 2017 Feb;21(4):284-293. doi: 10.1177/1087054713510349. Epub 2016 Jul 28.","Roberts BA","J Atten Disord","2017","2013/11/12","PMC4303540","NIHMS655755","10.1177/1087054713510349"
"30156362","Sex differences in ADHD trajectories across childhood and adolescence","Murray AL, Booth T, Eisner M, Auyeung B, Murray G, Ribeaud D.","Dev Sci. 2019 Jan;22(1):e12721. doi: 10.1111/desc.12721. Epub 2018 Aug 29.","Murray AL","Dev Sci","2019","2018/08/30","","","10.1111/desc.12721"
"29744363","Peer Inclusion in Interventions for Children with ADHD: A Systematic Review and Meta-Analysis","Cordier R, Vilaysack B, Doma K, Wilkes-Gillan S, Speyer R.","Biomed Res Int. 2018 Mar 18;2018:7693479. doi: 10.1155/2018/7693479. eCollection 2018.","Cordier R","Biomed Res Int","2018","2018/05/11","PMC5878915","","10.1155/2018/7693479"
"28005216","Is there a difference between child self-ratings and parent proxy-ratings of the quality of life of children with a diagnosis of attention-deficit hyperactivity disorder (ADHD)? A systematic review of the literature","Galloway H, Newman E.","Atten Defic Hyperact Disord. 2017 Mar;9(1):11-29. doi: 10.1007/s12402-016-0210-9. Epub 2016 Dec 22.","Galloway H","Atten Defic Hyperact Disord","2017","2016/12/23","PMC5323486","","10.1007/s12402-016-0210-9"
"28363151","Irritability in ADHD: Associations with depression liability","Eyre O, Langley K, Stringaris A, Leibenluft E, Collishaw S, Thapar A.","J Affect Disord. 2017 Jun;215:281-287. doi: 10.1016/j.jad.2017.03.050. Epub 2017 Mar 25.","Eyre O","J Affect Disord","2017","2017/04/01","PMC5409953","","10.1016/j.jad.2017.03.050"
"24107764","Effect of psychostimulants on brain structure and function in ADHD: a qualitative literature review of magnetic resonance imaging-based neuroimaging studies","Spencer TJ, Brown A, Seidman LJ, Valera EM, Makris N, Lomedico A, Faraone SV, Biederman J.","J Clin Psychiatry. 2013 Sep;74(9):902-17. doi: 10.4088/JCP.12r08287.","Spencer TJ","J Clin Psychiatry","2013","2013/10/11","PMC3801446","NIHMS486567","10.4088/JCP.12r08287"
"24232168","Oxidative Stress and ADHD: A Meta-Analysis","Joseph N, Zhang-James Y, Perl A, Faraone SV.","J Atten Disord. 2015 Nov;19(11):915-24. doi: 10.1177/1087054713510354. Epub 2013 Nov 14.","Joseph N","J Atten Disord","2015","2013/11/16","PMC5293138","NIHMS847224","10.1177/1087054713510354"
"28532326","A biased ADHD discourse ignores human uniqueness","Erlandsson SI, Punzi E.","Int J Qual Stud Health Well-being. 2017 Jun;12(sup1):1319584. doi: 10.1080/17482631.2017.1319584.","Erlandsson SI","Int J Qual Stud Health Well-being","2017","2017/05/24","PMC5510219","","10.1080/17482631.2017.1319584"
"27612082","Identification of ADHD in youth with epilepsy","Kral MC, Lally MD, Boan AD.","J Pediatr Rehabil Med. 2016 Sep 2;9(3):223-9. doi: 10.3233/PRM-160383.","Kral MC","J Pediatr Rehabil Med","2016","2016/09/10","","","10.3233/PRM-160383"
"24771253","Neurobiological measures to classify ADHD: a critical appraisal","Rommelse N, de Zeeuw P.","Eur Child Adolesc Psychiatry. 2014 May;23(5):243-6. doi: 10.1007/s00787-014-0549-4.","Rommelse N","Eur Child Adolesc Psychiatry","2014","2014/04/29","","","10.1007/s00787-014-0549-4"
"29050505","Late-Onset ADHD Reconsidered With Comprehensive Repeated Assessments Between Ages 10 and 25","Sibley MH, Rohde LA, Swanson JM, Hechtman LT, Molina BSG, Mitchell JT, Arnold LE, Caye A, Kennedy TM, Roy A, Stehli A; Multimodal Treatment Study of Children with ADHD (MTA) Cooperative Group.","Am J Psychiatry. 2018 Feb 1;175(2):140-149. doi: 10.1176/appi.ajp.2017.17030298. Epub 2017 Oct 20.","Sibley MH","Am J Psychiatry","2018","2017/10/21","PMC5814300","NIHMS911562","10.1176/appi.ajp.2017.17030298"
