PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"35781371","Effects of a single-dose methylphenidate challenge on resting-state functional connectivity in stimulant-treatment naive children and adults with ADHD","Kaiser A, Broeder C, Cohen JR, Douw L, Reneman L, Schrantee A.","Hum Brain Mapp. 2022 Oct 15;43(15):4664-4675. doi: 10.1002/hbm.25981. Epub 2022 Jul 4.","Kaiser A","Hum Brain Mapp","2022","2022/07/05","PMC9491277","","10.1002/hbm.25981"
"35661631","A Dopamine D(1) Agonist Versus Methylphenidate in Modulating Prefrontal Cortical Working Memory","Yang Y, Lewis MM, Kong L, Mailman RB.","J Pharmacol Exp Ther. 2022 Aug;382(2):88-99. doi: 10.1124/jpet.122.001215. Epub 2022 Jun 5.","Yang Y","J Pharmacol Exp Ther","2022","2022/06/06","PMC9341252","","10.1124/jpet.122.001215"
"35502047","Does methylphenidate treatment affect functional and structural ocular parameters in patients with attention deficit hyperactivity disorder? - A prospective, one year follow-up study","Bingöl-Kızıltunç P, Yürümez E, Atilla H.","Indian J Ophthalmol. 2022 May;70(5):1664-1668. doi: 10.4103/ijo.IJO_2966_21.","Bingöl-Kızıltunç P","Indian J Ophthalmol","2022","2022/05/03","PMC9332932","","10.4103/ijo.IJO_2966_21"
"34707237","Sex differences in methylphenidate-induced dopamine increases in ventral striatum","Manza P, Shokri-Kojori E, Wiers CE, Kroll D, Feldman D, McPherson K, Biesecker E, Dennis E, Johnson A, Kelleher A, Qu S, Tomasi D, Wang GJ, Volkow ND.","Mol Psychiatry. 2022 Feb;27(2):939-946. doi: 10.1038/s41380-021-01294-9. Epub 2021 Oct 27.","Manza P","Mol Psychiatry","2022","2021/10/28","PMC9043036","NIHMS1739252","10.1038/s41380-021-01294-9"
"34702855","CDH2 mutation affecting N-cadherin function causes attention-deficit hyperactivity disorder in humans and mice","Halperin D, Stavsky A, Kadir R, Drabkin M, Wormser O, Yogev Y, Dolgin V, Proskorovski-Ohayon R, Perez Y, Nudelman H, Stoler O, Rotblat B, Lifschytz T, Lotan A, Meiri G, Gitler D, Birk OS.","Nat Commun. 2021 Oct 26;12(1):6187. doi: 10.1038/s41467-021-26426-1.","Halperin D","Nat Commun","2021","2021/10/27","PMC8548587","","10.1038/s41467-021-26426-1"
"34436651","Methylphenidate for attention-deficit/hyperactivity disorder in adults: a narrative review","Jaeschke RR, Sujkowska E, Sowa-Kućma M.","Psychopharmacology (Berl). 2021 Oct;238(10):2667-2691. doi: 10.1007/s00213-021-05946-0. Epub 2021 Aug 26.","Jaeschke RR","Psychopharmacology (Berl)","2021","2021/08/26","PMC8455398","","10.1007/s00213-021-05946-0"
"31228508","Glutaminergic signaling in the caudate nucleus is required for behavioral sensitization to methylphenidate","King N, Floren S, Kharas N, Thomas M, Dafny N.","Pharmacol Biochem Behav. 2019 Sep;184:172737. doi: 10.1016/j.pbb.2019.172737. Epub 2019 Jun 19.","King N","Pharmacol Biochem Behav","2019","2019/06/23","PMC6692216","NIHMS1533086","10.1016/j.pbb.2019.172737"
"30742847","Developmental nicotine exposure precipitates multigenerational maternal transmission of nicotine preference and ADHD-like behavioral, rhythmometric, neuropharmacological, and epigenetic anomalies in adolescent mice","Buck JM, Sanders KN, Wageman CR, Knopik VS, Stitzel JA, O'Neill HC.","Neuropharmacology. 2019 May 1;149:66-82. doi: 10.1016/j.neuropharm.2019.02.006. Epub 2019 Feb 8.","Buck JM","Neuropharmacology","2019","2019/02/12","PMC7096676","NIHMS1563344","10.1016/j.neuropharm.2019.02.006"
"30736828","Baicalin regulates the dopamine system to control the core symptoms of ADHD","Zhou R, Wang J, Han X, Ma B, Yuan H, Song Y.","Mol Brain. 2019 Feb 8;12(1):11. doi: 10.1186/s13041-019-0428-5.","Zhou R","Mol Brain","2019","2019/02/10","PMC6368814","","10.1186/s13041-019-0428-5"
"30462746","The KCNH3 inhibitor ASP2905 shows potential in the treatment of attention deficit/hyperactivity disorder","Takahashi S, Ohmiya M, Honda S, Ni K.","PLoS One. 2018 Nov 21;13(11):e0207750. doi: 10.1371/journal.pone.0207750. eCollection 2018.","Takahashi S","PLoS One","2018","2018/11/22","PMC6248980","","10.1371/journal.pone.0207750"
"30413217","Development of a peptide targeting dopamine transporter to improve ADHD-like deficits","Lai TKY, Su P, Zhang H, Liu F.","Mol Brain. 2018 Nov 9;11(1):66. doi: 10.1186/s13041-018-0409-0.","Lai TKY","Mol Brain","2018","2018/11/11","PMC6234781","","10.1186/s13041-018-0409-0"
"30337626","Neonatal 6-OHDA lesion model in mouse induces Attention-Deficit/ Hyperactivity Disorder (ADHD)-like behaviour","Bouchatta O, Manouze H, Bouali-Benazzouz R, Kerekes N, Ba-M'hamed S, Fossat P, Landry M, Bennis M.","Sci Rep. 2018 Oct 18;8(1):15349. doi: 10.1038/s41598-018-33778-0.","Bouchatta O","Sci Rep","2018","2018/10/20","PMC6193955","","10.1038/s41598-018-33778-0"
"29670821","Amphetamine, but not methylphenidate, increases ethanol intake in adolescent male, but not in female, rats","Ruiz P, Calliari A, Genovese P, Scorza C, Pautassi RM.","Brain Behav. 2018 Feb 19;8(4):e00939. doi: 10.1002/brb3.939. eCollection 2018 Apr.","Ruiz P","Brain Behav","2018","2018/04/20","PMC5893334","","10.1002/brb3.939"
"29058689","Deficiency of tumor suppressor NDRG2 leads to attention deficit and hyperactive behavior","Li Y, Yin A, Sun X, Zhang M, Zhang J, Wang P, Xie R, Li W, Fan Z, Zhu Y, Wang H, Dong H, Wu S, Xiong L.","J Clin Invest. 2017 Dec 1;127(12):4270-4284. doi: 10.1172/JCI94455. Epub 2017 Oct 23.","Li Y","J Clin Invest","2017","2017/10/24","PMC5707150","","10.1172/JCI94455"
"28825095","[Effect of methylphenidate on c-Fos expression in parvalbumin interneurons of juvenile rat frontal cortex]","Zhang YC, Zhu XQ, Zhang XH.","Sheng Li Xue Bao. 2017 Aug 25;69(4):378-384.","Zhang YC","Sheng Li Xue Bao","2017","2017/08/22","","",""
"27487479","Age-Dependent Effects of Methylphenidate on the Human Dopaminergic System in Young vs Adult Patients With Attention-Deficit/Hyperactivity Disorder: A Randomized Clinical Trial","Schrantee A, Tamminga HG, Bouziane C, Bottelier MA, Bron EE, Mutsaerts HJ, Zwinderman AH, Groote IR, Rombouts SA, Lindauer RJ, Klein S, Niessen WJ, Opmeer BC, Boer F, Lucassen PJ, Andersen SL, Geurts HM, Reneman L.","JAMA Psychiatry. 2016 Sep 1;73(9):955-62. doi: 10.1001/jamapsychiatry.2016.1572.","Schrantee A","JAMA Psychiatry","2016","2016/08/04","PMC5267166","NIHMS841334","10.1001/jamapsychiatry.2016.1572"
"27397110","Preventative treatment in an animal model of ADHD: Behavioral and biochemical effects of methylphenidate and its interactions with ovarian hormones in female rats","Lukkes JL, Freund N, Thompson BS, Meda S, Andersen SL.","Eur Neuropsychopharmacol. 2016 Sep;26(9):1496-1506. doi: 10.1016/j.euroneuro.2016.06.003. Epub 2016 Jul 5.","Lukkes JL","Eur Neuropsychopharmacol","2016","2016/07/12","PMC5204118","NIHMS797309","10.1016/j.euroneuro.2016.06.003"
"27150080","Abnormal response to methylphenidate across multiple fMRI procedures in cocaine use disorder: feasibility study","Moeller SJ, Konova AB, Tomasi D, Parvaz MA, Goldstein RZ.","Psychopharmacology (Berl). 2016 Jul;233(13):2559-69. doi: 10.1007/s00213-016-4307-9. Epub 2016 May 6.","Moeller SJ","Psychopharmacology (Berl)","2016","2016/05/07","PMC4916842","NIHMS792541","10.1007/s00213-016-4307-9"
"26509840","Long Withdrawal of Methylphenidate Induces a Differential Response of the Dopaminergic System and Increases Sensitivity to Cocaine in the Prefrontal Cortex of Spontaneously Hypertensive Rats","dos Santos Pereira M, Sathler MF, Valli Tda R, Marques RS, Ventura AL, Peccinalli NR, Fraga MC, Manhães AC, Kubrusly R.","PLoS One. 2015 Oct 28;10(10):e0141249. doi: 10.1371/journal.pone.0141249. eCollection 2015.","dos Santos Pereira M","PLoS One","2015","2015/10/29","PMC4625026","","10.1371/journal.pone.0141249"
"25962619","ADHD-associated dopamine transporter, latrophilin and neurofibromin share a dopamine-related locomotor signature in Drosophila","van der Voet M, Harich B, Franke B, Schenck A.","Mol Psychiatry. 2016 Apr;21(4):565-73. doi: 10.1038/mp.2015.55. Epub 2015 May 12.","van der Voet M","Mol Psychiatry","2016","2015/05/13","PMC4804182","","10.1038/mp.2015.55"
"25817856","Improvement of learning and increase in dopamine level in the frontal cortex by methylphenidate in mice lacking dopamine transporter","Takamatsu Y, Hagino Y, Sato A, Takahashi T, Nagasawa SY, Kubo Y, Mizuguchi M, Uhl GR, Sora I, Ikeda K.","Curr Mol Med. 2015;15(3):245-52. doi: 10.2174/1566524015666150330144018.","Takamatsu Y","Curr Mol Med","2015","2015/03/31","PMC5384353","","10.2174/1566524015666150330144018"
"25514162","Serotonin/dopamine interactions in a hyperactive mouse: reduced serotonin receptor 1B activity reverses effects of dopamine transporter knockout","Hall FS, Sora I, Hen R, Uhl GR.","PLoS One. 2014 Dec 16;9(12):e115009. doi: 10.1371/journal.pone.0115009. eCollection 2014.","Hall FS","PLoS One","2014","2014/12/17","PMC4267809","","10.1371/journal.pone.0115009"
"25485641","Reward modulation of cognitive function in adult attention-deficit/hyperactivity disorder: a pilot study on the role of striatal dopamine","Aarts E, van Holstein M, Hoogman M, Onnink M, Kan C, Franke B, Buitelaar J, Cools R.","Behav Pharmacol. 2015 Feb;26(1-2):227-40. doi: 10.1097/FBP.0000000000000116.","Aarts E","Behav Pharmacol","2015","2014/12/09","PMC5398319","","10.1097/FBP.0000000000000116"
"23822950","Adolescent atomoxetine treatment in a rodent model of ADHD: effects on cocaine self-administration and dopamine transporters in frontostriatal regions","Somkuwar SS, Jordan CJ, Kantak KM, Dwoskin LP.","Neuropsychopharmacology. 2013 Dec;38(13):2588-97. doi: 10.1038/npp.2013.163. Epub 2013 Jul 3.","Somkuwar SS","Neuropsychopharmacology","2013","2013/07/05","PMC3828528","","10.1038/npp.2013.163"
"22764249","Prenatal nicotine exposure mouse model showing hyperactivity, reduced cingulate cortex volume, reduced dopamine turnover, and responsiveness to oral methylphenidate treatment","Zhu J, Zhang X, Xu Y, Spencer TJ, Biederman J, Bhide PG.","J Neurosci. 2012 Jul 4;32(27):9410-8. doi: 10.1523/JNEUROSCI.1041-12.2012.","Zhu J","J Neurosci","2012","2012/07/06","PMC3417040","NIHMS391447","10.1523/JNEUROSCI.1041-12.2012"
"22580232","Isolation rearing as a preclinical model of attention/deficit-hyperactivity disorder","Yates JR, Darna M, Gipson CD, Dwoskin LP, Bardo MT.","Behav Brain Res. 2012 Oct 1;234(2):292-8. doi: 10.1016/j.bbr.2012.04.043. Epub 2012 May 2.","Yates JR","Behav Brain Res","2012","2012/05/15","PMC3676298","NIHMS476221","10.1016/j.bbr.2012.04.043"
"22262882","Methylphenidate-elicited dopamine increases in ventral striatum are associated with long-term symptom improvement in adults with attention deficit hyperactivity disorder","Volkow ND, Wang GJ, Tomasi D, Kollins SH, Wigal TL, Newcorn JH, Telang FW, Fowler JS, Logan J, Wong CT, Swanson JM.","J Neurosci. 2012 Jan 18;32(3):841-9. doi: 10.1523/JNEUROSCI.4461-11.2012.","Volkow ND","J Neurosci","2012","2012/01/21","PMC3350870","NIHMS374911","10.1523/JNEUROSCI.4461-11.2012"
"21176172","The neurobiological basis of ADHD","Curatolo P, D'Agati E, Moavero R.","Ital J Pediatr. 2010 Dec 22;36(1):79. doi: 10.1186/1824-7288-36-79.","Curatolo P","Ital J Pediatr","2010","2010/12/24","PMC3016271","","10.1186/1824-7288-36-79"
"20832057","Attention-deficit/hyperactivity phenotype in mice lacking the cyclin-dependent kinase 5 cofactor p35","Drerup JM, Hayashi K, Cui H, Mettlach GL, Long MA, Marvin M, Sun X, Goldberg MS, Lutter M, Bibb JA.","Biol Psychiatry. 2010 Dec 15;68(12):1163-71. doi: 10.1016/j.biopsych.2010.07.016. Epub 2010 Sep 15.","Drerup JM","Biol Psychiatry","2010","2010/09/14","PMC2997929","NIHMS232524","10.1016/j.biopsych.2010.07.016"
"20826448","Reduced striatal dopamine underlies the attention system dysfunction in neurofibromatosis-1 mutant mice","Brown JA, Emnett RJ, White CR, Yuede CM, Conyers SB, O'Malley KL, Wozniak DF, Gutmann DH.","Hum Mol Genet. 2010 Nov 15;19(22):4515-28. doi: 10.1093/hmg/ddq382. Epub 2010 Sep 7.","Brown JA","Hum Mol Genet","2010","2010/09/10","PMC2957316","","10.1093/hmg/ddq382"
"19204064","NK1 (TACR1) receptor gene 'knockout' mouse phenotype predicts genetic association with ADHD","Yan TC, McQuillin A, Thapar A, Asherson P, Hunt SP, Stanford SC, Gurling H.","J Psychopharmacol. 2010 Jan;24(1):27-38. doi: 10.1177/0269881108100255. Epub 2009 Feb 9.","Yan TC","J Psychopharmacol","2010","2009/02/11","PMC3943619","","10.1177/0269881108100255"
"17924950","Early stress and chronic methylphenidate cross-sensitize dopaminergic responses in the adolescent medial prefrontal cortex and nucleus accumbens","Jezierski G, Zehle S, Bock J, Braun K, Gruss M.","J Neurochem. 2007 Dec;103(6):2234-44. doi: 10.1111/j.1471-4159.2007.04927.x. Epub 2007 Oct 9.","Jezierski G","J Neurochem","2007","2007/10/11","","","10.1111/j.1471-4159.2007.04927.x"
"16123773","Association between dopamine transporter (DAT1) genotype, left-sided inattention, and an enhanced response to methylphenidate in attention-deficit hyperactivity disorder","Bellgrove MA, Hawi Z, Kirley A, Fitzgerald M, Gill M, Robertson IH.","Neuropsychopharmacology. 2005 Dec;30(12):2290-7. doi: 10.1038/sj.npp.1300839.","Bellgrove MA","Neuropsychopharmacology","2005","2005/08/27","","","10.1038/sj.npp.1300839"
"15303308","Dysfunctions in dopamine systems and ADHD: evidence from animals and modeling","Viggiano D, Vallone D, Sadile A.","Neural Plast. 2004;11(1-2):97-114. doi: 10.1155/NP.2004.97.","Viggiano D","Neural Plast","2004","2004/08/12","PMC2565441","","10.1155/NP.2004.97"
"15303307","Experimental investigations on dopamine transmission can provide clues on the mechanism of the therapeutic effect of amphetamine and methylphenidate in ADHD","Carboni E, Silvagni A.","Neural Plast. 2004;11(1-2):77-95. doi: 10.1155/NP.2004.77.","Carboni E","Neural Plast","2004","2004/08/12","PMC2565436","","10.1155/NP.2004.77"
"12431845","Atomoxetine increases extracellular levels of norepinephrine and dopamine in prefrontal cortex of rat: a potential mechanism for efficacy in attention deficit/hyperactivity disorder","Bymaster FP, Katner JS, Nelson DL, Hemrick-Luecke SK, Threlkeld PG, Heiligenstein JH, Morin SM, Gehlert DR, Perry KW.","Neuropsychopharmacology. 2002 Nov;27(5):699-711. doi: 10.1016/S0893-133X(02)00346-9.","Bymaster FP","Neuropsychopharmacology","2002","2002/11/15","","","10.1016/S0893-133X(02)00346-9"
